frame,path,teacher_conf,accepted,accepted_final,passed_base_gate,passed_motion_gate,passed_persistence_gate,teacher_num_candidates,teacher_selected_rank,teacher_selected_score,teacher_selected_score_conf,teacher_selected_score_temporal,persistence_count,temporal_iou,persistence_iou,center_shift_frac,area_ratio,num_pseudo_boxes_used,buffer_size,update_event_triggered,update_applied,updates_this_frame,batch_size_used,det_loss,total_loss,teacher_latency_ms,student_post_conf,student_post_latency_ms,update_latency_ms,frame_latency_ms
0,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00001.jpg,0.641048,0,0,0,1,0,1,1,0.641048,0.641048,0.000000,0,,,,,0,0,0,0,0,0,,,15.139,0.641048,48.044,0.000,84.662
1,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00002.jpg,0.641048,0,0,0,1,0,1,1,1.641048,0.641048,1.000000,0,,,0.000000,1.000000,0,0,0,0,0,0,,,15.493,0.641048,14.315,0.000,48.539
2,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00003.jpg,0.776923,0,0,0,1,0,1,1,1.605282,0.776923,0.828359,0,,,0.016354,1.054807,0,0,0,0,0,0,,,14.369,0.776923,14.495,0.000,43.805
3,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00004.jpg,0.680275,0,0,0,1,0,1,1,1.362378,0.680275,0.682103,0,,,0.030284,1.102039,0,0,0,0,0,0,,,13.898,0.680275,13.667,0.000,39.372
4,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00005.jpg,0.748070,0,0,0,1,0,1,1,1.410459,0.748070,0.662390,0,,,0.020877,1.175343,0,0,0,0,0,0,,,13.128,0.748070,12.992,0.000,42.973
5,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00006.jpg,0.748070,0,0,0,1,0,1,1,1.748070,0.748070,1.000000,0,,,0.000000,1.000000,0,0,0,0,0,0,,,12.905,0.748070,12.642,0.000,36.286
6,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00007.jpg,0.774327,0,0,0,1,0,1,1,1.653825,0.774327,0.879498,0,,,0.010755,1.037224,0,0,0,0,0,0,,,13.215,0.774327,13.204,0.000,39.215
7,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00008.jpg,0.762984,0,0,0,0,0,1,1,0.762984,0.762984,0.000000,0,,,0.233661,2.190912,0,0,0,0,0,0,,,12.336,0.762984,12.242,0.000,34.916
8,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00009.jpg,0.787730,0,0,0,1,0,1,1,1.765290,0.787730,0.977559,0,,,0.002497,1.006085,0,0,0,0,0,0,,,12.864,0.787730,12.441,0.000,41.732
9,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00010.jpg,0.269051,0,0,0,0,0,1,1,0.269051,0.269051,0.000000,0,,,0.211951,5.469030,0,0,0,0,0,0,,,12.765,0.269051,12.666,0.000,35.950
