frame,path,teacher_conf,accepted,accepted_final,passed_base_gate,passed_motion_gate,passed_persistence_gate,teacher_num_candidates,teacher_selected_rank,teacher_selected_score,teacher_selected_score_conf,teacher_selected_score_temporal,persistence_count,temporal_iou,persistence_iou,center_shift_frac,area_ratio,num_pseudo_boxes_used,buffer_size,update_event_triggered,update_applied,updates_this_frame,batch_size_used,det_loss,total_loss,teacher_latency_ms,student_post_conf,student_post_latency_ms,update_latency_ms,frame_latency_ms
0,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00001.jpg,0.641048,0,0,0,1,0,1,1,0.641048,0.641048,0.000000,0,,,,,0,0,0,0,0,0,,,13.801,0.641048,44.388,0.000,77.487
1,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00002.jpg,0.641048,0,0,0,1,0,1,1,1.641048,0.641048,1.000000,0,,,0.000000,1.000000,0,0,0,0,0,0,,,14.059,0.641048,13.063,0.000,42.450
2,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00003.jpg,0.776923,0,0,0,1,0,1,1,1.605282,0.776923,0.828359,0,,,0.016354,1.054807,0,0,0,0,0,0,,,13.299,0.776923,13.415,0.000,40.394
3,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00004.jpg,0.680275,0,0,0,1,0,1,1,1.362378,0.680275,0.682103,0,,,0.030284,1.102039,0,0,0,0,0,0,,,12.540,0.680275,13.259,0.000,36.703
4,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00005.jpg,0.748070,0,0,0,1,0,1,1,1.410459,0.748070,0.662390,0,,,0.020877,1.175343,0,0,0,0,0,0,,,11.867,0.748070,11.780,0.000,38.959
5,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00006.jpg,0.748070,0,0,0,1,0,1,1,1.748070,0.748070,1.000000,0,,,0.000000,1.000000,0,0,0,0,0,0,,,11.990,0.748070,11.827,0.000,34.096
6,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00007.jpg,0.774327,0,0,0,1,0,1,1,1.653825,0.774327,0.879498,0,,,0.010755,1.037224,0,0,0,0,0,0,,,12.199,0.774327,12.042,0.000,36.164
7,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00008.jpg,0.762984,0,0,0,0,0,1,1,0.762984,0.762984,0.000000,0,,,0.233661,2.190912,0,0,0,0,0,0,,,11.652,0.762984,11.413,0.000,32.747
8,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00009.jpg,0.787730,0,0,0,1,0,1,1,1.765290,0.787730,0.977559,0,,,0.002497,1.006085,0,0,0,0,0,0,,,12.826,0.787730,11.585,0.000,40.583
9,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00010.jpg,0.269051,0,0,0,0,0,1,1,0.269051,0.269051,0.000000,0,,,0.211951,5.469030,0,0,0,0,0,0,,,11.409,0.269051,11.577,0.000,32.882
10,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00011.jpg,0.735096,0,0,0,1,0,1,1,0.739963,0.735096,0.004866,0,,,0.032259,2.478429,0,0,0,0,0,0,,,11.518,0.735096,11.658,0.000,32.946
11,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00012.jpg,0.720707,0,0,0,1,0,1,1,1.463155,0.720707,0.742448,0,,,0.030030,1.013718,0,0,0,0,0,0,,,11.949,0.720707,11.765,0.000,34.009
