frame,path,teacher_top1_conf,accepted,num_pseudo_boxes_used,buffer_size,prototype_memory_size,update_applied,updates_this_frame,batch_size_used,det_loss,prototype_loss,total_loss,teacher_latency_ms,student_post_conf,student_post_latency_ms,update_latency_ms,frame_latency_ms
0,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00001.jpg,0.641048,0,0,0,0,0,0,0,,,,15.086,0.641048,50.022,0.000,88.882
1,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00002.jpg,0.641048,0,0,0,0,0,0,0,,,,16.204,0.641048,15.262,0.000,45.018
2,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00003.jpg,0.776923,0,0,0,0,0,0,0,,,,13.844,0.776923,13.930,0.000,39.439
3,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00004.jpg,0.680275,0,0,0,0,0,0,0,,,,15.121,0.680275,14.229,0.000,41.423
4,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00005.jpg,0.748070,0,0,0,0,0,0,0,,,,13.509,0.748070,13.230,0.000,37.934
5,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00006.jpg,0.748070,0,0,0,0,0,0,0,,,,14.517,0.748070,13.346,0.000,39.345
6,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00007.jpg,0.774327,0,0,0,0,0,0,0,,,,14.795,0.774327,14.962,0.000,41.847
7,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00008.jpg,0.762984,0,0,0,0,0,0,0,,,,13.127,0.762984,12.070,0.000,35.564
8,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00009.jpg,0.787730,0,0,0,0,0,0,0,,,,16.908,0.787730,12.386,0.000,39.668
9,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00010.jpg,0.269051,0,0,0,0,0,0,0,,,,13.351,0.269051,12.860,0.000,38.366
10,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00011.jpg,0.735096,0,0,0,0,0,0,0,,,,12.716,0.735096,12.289,0.000,35.475
11,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00012.jpg,0.720707,0,0,0,0,0,0,0,,,,13.334,0.720707,13.404,0.000,37.512
12,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00013.jpg,0.629040,0,0,0,0,0,0,0,,,,13.468,0.629040,13.372,0.000,38.268
13,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00014.jpg,0.710388,0,0,0,0,0,0,0,,,,13.960,0.710388,13.897,0.000,39.251
14,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00015.jpg,0.710388,0,0,0,0,0,0,0,,,,13.087,0.710388,14.730,0.000,37.046
15,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00016.jpg,0.608971,0,0,0,0,0,0,0,,,,14.469,0.608971,13.466,0.000,40.255
16,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00017.jpg,0.766669,0,0,0,0,0,0,0,,,,13.171,0.766669,13.991,0.000,37.427
17,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00018.jpg,0.758212,0,0,0,0,0,0,0,,,,13.671,0.758212,12.383,0.000,37.248
18,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00019.jpg,0.777303,0,0,0,0,0,0,0,,,,13.226,0.777303,13.409,0.000,37.156
19,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00020.jpg,0.777303,0,0,0,0,0,0,0,,,,15.012,0.777303,13.200,0.000,39.263
20,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00021.jpg,0.850822,0,0,0,0,0,0,0,,,,13.183,0.850822,12.529,0.000,37.135
21,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00022.jpg,0.837120,0,0,0,0,0,0,0,,,,14.228,0.837120,14.047,0.000,37.807
22,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00023.jpg,0.837567,0,0,0,0,0,0,0,,,,12.877,0.837567,12.816,0.000,35.030
23,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00024.jpg,0.839836,0,0,0,0,0,0,0,,,,13.656,0.839836,12.881,0.000,38.069
24,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00025.jpg,0.855603,0,0,0,0,0,0,0,,,,14.063,0.855603,13.203,0.000,39.285
