frame,path,teacher_top1_conf,accepted,num_pseudo_boxes_used,buffer_size,update_applied,updates_this_frame,batch_size_used,det_loss,teacher_latency_ms,student_post_conf,student_post_latency_ms,update_latency_ms,frame_latency_ms
0,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00001.jpg,0.641048,0,0,0,0,0,0,,16.483,0.641048,44.951,0.000,81.781
1,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00002.jpg,0.641048,0,0,0,0,0,0,,14.883,0.641048,13.436,0.000,42.626
2,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00003.jpg,0.776923,0,0,0,0,0,0,,13.283,0.776923,12.822,0.000,36.216
3,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00004.jpg,0.680275,0,0,0,0,0,0,,13.331,0.680275,13.198,0.000,37.437
4,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00005.jpg,0.748070,0,0,0,0,0,0,,11.961,0.748070,11.815,0.000,34.180
5,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00006.jpg,0.748070,0,0,0,0,0,0,,12.759,0.748070,12.617,0.000,35.413
6,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00007.jpg,0.774327,0,0,0,0,0,0,,12.257,0.774327,12.081,0.000,35.130
7,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00008.jpg,0.762984,0,0,0,0,0,0,,13.283,0.762984,12.715,0.000,37.227
8,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00009.jpg,0.787730,0,0,0,0,0,0,,14.131,0.787730,13.498,0.000,39.135
9,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00010.jpg,0.269051,0,0,0,0,0,0,,12.803,0.269051,12.059,0.000,33.613
10,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00011.jpg,0.735096,0,0,0,0,0,0,,12.154,0.735096,11.735,0.000,33.847
11,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00012.jpg,0.720707,0,0,0,0,0,0,,13.242,0.720707,13.054,0.000,35.274
12,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00013.jpg,0.629040,0,0,0,0,0,0,,13.102,0.629040,12.555,0.000,36.562
13,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00014.jpg,0.710388,0,0,0,0,0,0,,13.498,0.710388,13.143,0.000,36.173
14,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00015.jpg,0.710388,0,0,0,0,0,0,,12.739,0.710388,12.450,0.000,36.953
15,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00016.jpg,0.608971,0,0,0,0,0,0,,13.738,0.608971,12.806,0.000,36.574
16,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00017.jpg,0.766669,0,0,0,0,0,0,,12.172,0.766669,13.728,0.000,35.908
17,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00018.jpg,0.758212,0,0,0,0,0,0,,12.846,0.758212,12.062,0.000,34.748
18,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00019.jpg,0.777303,0,0,0,0,0,0,,12.241,0.777303,11.855,0.000,34.493
19,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00020.jpg,0.777303,0,0,0,0,0,0,,13.367,0.777303,12.555,0.000,35.566
20,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00021.jpg,0.850822,0,0,0,0,0,0,,12.623,0.850822,12.432,0.000,34.197
21,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00022.jpg,0.837120,0,0,0,0,0,0,,13.119,0.837120,12.951,0.000,35.702
22,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00023.jpg,0.837567,0,0,0,0,0,0,,12.618,0.837567,12.300,0.000,34.505
23,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00024.jpg,0.839836,0,0,0,0,0,0,,13.017,0.839836,12.802,0.000,35.271
24,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00025.jpg,0.855603,0,0,0,0,0,0,,12.489,0.855603,12.240,0.000,35.152
25,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00026.jpg,0.761126,0,0,0,0,0,0,,12.818,0.761126,12.114,0.000,33.681
26,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00027.jpg,0.796143,0,0,0,0,0,0,,12.195,0.796143,11.873,0.000,34.183
27,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00028.jpg,0.777080,0,0,0,0,0,0,,12.935,0.777080,12.824,0.000,34.839
28,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00029.jpg,0.807009,0,0,0,0,0,0,,13.318,0.807009,12.898,0.000,35.881
29,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00030.jpg,0.786611,0,0,0,0,0,0,,12.867,0.786611,12.647,0.000,34.556
30,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00031.jpg,0.574654,0,0,0,0,0,0,,12.965,0.574654,12.036,0.000,33.683
31,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00032.jpg,0.677804,0,0,0,0,0,0,,13.533,0.677804,12.493,0.000,35.635
32,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00033.jpg,0.697927,0,0,0,0,0,0,,12.103,0.697927,11.848,0.000,34.063
33,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00034.jpg,0.697927,0,0,0,0,0,0,,12.557,0.697927,12.328,0.000,33.570
34,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00035.jpg,0.690378,0,0,0,0,0,0,,12.352,0.690378,11.998,0.000,34.518
35,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00036.jpg,0.709036,0,0,0,0,0,0,,12.645,0.709036,12.351,0.000,33.955
36,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00037.jpg,0.641048,0,0,0,0,0,0,,11.990,0.641048,11.682,0.000,31.901
37,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00038.jpg,0.707168,0,0,0,0,0,0,,12.861,0.707168,12.826,0.000,34.605
38,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00039.jpg,0.582385,0,0,0,0,0,0,,12.751,0.582385,12.077,0.000,35.251
39,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00040.jpg,0.654145,0,0,0,0,0,0,,12.828,0.654145,12.555,0.000,34.467
40,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00041.jpg,0.810247,0,0,0,0,0,0,,12.260,0.810247,11.795,0.000,34.053
41,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00042.jpg,0.807693,0,0,0,0,0,0,,12.434,0.807693,12.204,0.000,34.792
42,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00043.jpg,0.755115,0,0,0,0,0,0,,12.118,0.755115,11.821,0.000,34.011
43,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00044.jpg,0.755115,0,0,0,0,0,0,,13.759,0.755115,12.410,0.000,36.865
44,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00045.jpg,0.492451,0,0,0,0,0,0,,12.277,0.492451,12.145,0.000,34.535
45,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00046.jpg,0.194959,0,0,0,0,0,0,,13.624,0.194959,14.662,0.000,39.901
46,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00047.jpg,0.510390,0,0,0,0,0,0,,12.162,0.510390,11.516,0.000,34.094
47,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00048.jpg,0.399717,0,0,0,0,0,0,,12.416,0.399717,12.172,0.000,35.332
48,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00049.jpg,0.679488,0,0,0,0,0,0,,12.237,0.679488,11.935,0.000,32.702
49,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00050.jpg,0.734312,0,0,0,0,0,0,,13.068,0.734312,12.505,0.000,36.063
50,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00051.jpg,0.664311,0,0,0,0,0,0,,12.117,0.664311,11.938,0.000,34.147
51,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00052.jpg,0.630266,0,0,0,0,0,0,,12.682,0.630266,12.597,0.000,35.738
52,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00053.jpg,0.630266,0,0,0,0,0,0,,12.114,0.630266,11.836,0.000,32.413
53,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00054.jpg,0.509901,0,0,0,0,0,0,,12.845,0.509901,12.433,0.000,36.046
54,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00055.jpg,0.757477,0,0,0,0,0,0,,12.372,0.757477,12.311,0.000,34.822
55,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00056.jpg,0.482319,0,0,0,0,0,0,,12.870,0.482319,12.302,0.000,35.660
56,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00057.jpg,0.631844,0,0,0,0,0,0,,12.409,0.631844,12.885,0.000,33.776
57,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00058.jpg,0.631844,0,0,0,0,0,0,,12.583,0.631844,12.323,0.000,33.687
