frame,path,teacher_top1_conf,accepted,num_pseudo_boxes_used,buffer_size,update_applied,updates_this_frame,batch_size_used,det_loss,teacher_latency_ms,student_post_conf,student_post_latency_ms,update_latency_ms,frame_latency_ms
0,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00001.jpg,0.641048,0,0,0,0,0,0,,15.501,0.641048,48.171,0.000,84.662
1,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00002.jpg,0.641048,0,0,0,0,0,0,,15.914,0.641048,14.368,0.000,45.530
2,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00003.jpg,0.776923,0,0,0,0,0,0,,14.936,0.776923,14.129,0.000,41.339
3,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00004.jpg,0.680275,0,0,0,0,0,0,,14.538,0.680275,13.730,0.000,40.074
4,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00005.jpg,0.748070,0,0,0,0,0,0,,12.278,0.748070,12.054,0.000,34.216
5,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00006.jpg,0.748070,0,0,0,0,0,0,,13.564,0.748070,13.510,0.000,38.112
6,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00007.jpg,0.774327,0,0,0,0,0,0,,13.550,0.774327,12.702,0.000,36.422
7,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00008.jpg,0.762984,0,0,0,0,0,0,,13.284,0.762984,13.414,0.000,37.568
8,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00009.jpg,0.787730,0,0,0,0,0,0,,12.718,0.787730,12.862,0.000,36.445
9,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00010.jpg,0.269051,0,0,0,0,0,0,,14.238,0.269051,13.053,0.000,38.751
10,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00011.jpg,0.735096,0,0,0,0,0,0,,13.095,0.735096,12.814,0.000,36.481
11,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00012.jpg,0.720707,0,0,0,0,0,0,,14.612,0.720707,14.192,0.000,38.722
12,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00013.jpg,0.629040,0,0,0,0,0,0,,14.404,0.629040,14.365,0.000,40.445
13,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00014.jpg,0.710388,0,0,0,0,0,0,,15.236,0.710388,14.775,0.000,40.722
14,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00015.jpg,0.710388,0,0,0,0,0,0,,13.871,0.710388,14.132,0.000,39.540
15,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00016.jpg,0.608971,0,0,0,0,0,0,,19.701,0.608971,16.321,0.000,46.458
16,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00017.jpg,0.766669,0,0,0,0,0,0,,12.699,0.766669,13.446,0.000,37.558
17,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00018.jpg,0.758212,0,0,0,0,0,0,,14.731,0.758212,13.318,0.000,39.996
18,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00019.jpg,0.777303,0,0,0,0,0,0,,14.594,0.777303,15.060,0.000,40.573
19,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00020.jpg,0.777303,0,0,0,0,0,0,,14.521,0.777303,14.049,0.000,39.889
20,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00021.jpg,0.850822,0,0,0,0,0,0,,14.587,0.850822,13.449,0.000,42.404
21,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00022.jpg,0.837120,0,0,0,0,0,0,,14.986,0.837120,13.967,0.000,39.609
22,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00023.jpg,0.837567,0,0,0,0,0,0,,13.888,0.837567,13.259,0.000,36.541
23,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00024.jpg,0.839836,0,0,0,0,0,0,,14.618,0.839836,13.488,0.000,38.244
24,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00025.jpg,0.855603,0,0,0,0,0,0,,14.213,0.855603,13.076,0.000,37.156
25,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00026.jpg,0.761126,0,0,0,0,0,0,,14.205,0.761126,14.661,0.000,40.737
26,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00027.jpg,0.796143,0,0,0,0,0,0,,13.255,0.796143,12.651,0.000,35.114
27,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00028.jpg,0.777080,0,0,0,0,0,0,,14.038,0.777080,13.866,0.000,39.531
28,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00029.jpg,0.807009,0,0,0,0,0,0,,16.455,0.807009,13.437,0.000,42.961
29,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00030.jpg,0.786611,0,0,0,0,0,0,,14.743,0.786611,14.489,0.000,41.439
30,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00031.jpg,0.574654,0,0,0,0,0,0,,13.854,0.574654,12.446,0.000,36.067
31,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00032.jpg,0.677804,0,0,0,0,0,0,,13.615,0.677804,12.878,0.000,38.717
32,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00033.jpg,0.697927,0,0,0,0,0,0,,13.723,0.697927,13.729,0.000,38.139
33,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00034.jpg,0.697927,0,0,0,0,0,0,,14.552,0.697927,13.833,0.000,38.086
34,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00035.jpg,0.690378,0,0,0,0,0,0,,13.363,0.690378,12.750,0.000,35.657
35,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00036.jpg,0.709036,0,0,0,0,0,0,,14.796,0.709036,14.330,0.000,39.732
36,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00037.jpg,0.641048,0,0,0,0,0,0,,14.534,0.641048,13.503,0.000,39.407
37,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00038.jpg,0.707168,0,0,0,0,0,0,,16.007,0.707168,14.762,0.000,41.300
38,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00039.jpg,0.582385,0,0,0,0,0,0,,13.192,0.582385,12.448,0.000,36.881
39,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00040.jpg,0.654145,0,0,0,0,0,0,,14.718,0.654145,13.826,0.000,39.378
40,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00041.jpg,0.810247,0,0,0,0,0,0,,12.198,0.810247,12.126,0.000,33.134
41,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00042.jpg,0.807693,0,0,0,0,0,0,,14.600,0.807693,13.696,0.000,38.502
42,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00043.jpg,0.755115,0,0,0,0,0,0,,12.756,0.755115,12.790,0.000,35.929
43,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00044.jpg,0.755115,0,0,0,0,0,0,,14.083,0.755115,13.720,0.000,38.210
44,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00045.jpg,0.492451,0,0,0,0,0,0,,12.649,0.492451,12.943,0.000,35.852
45,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00046.jpg,0.194959,0,0,0,0,0,0,,13.948,0.194959,13.480,0.000,38.147
46,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00047.jpg,0.510390,0,0,0,0,0,0,,12.909,0.510390,12.739,0.000,34.720
47,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00048.jpg,0.399717,0,0,0,0,0,0,,14.174,0.399717,13.808,0.000,39.567
48,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00049.jpg,0.679488,0,0,0,0,0,0,,12.649,0.679488,12.614,0.000,36.229
49,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00050.jpg,0.734312,0,0,0,0,0,0,,14.086,0.734312,13.630,0.000,39.686
50,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00051.jpg,0.664311,0,0,0,0,0,0,,13.656,0.664311,13.284,0.000,37.702
51,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00052.jpg,0.630266,0,0,0,0,0,0,,15.312,0.630266,16.018,0.000,42.898
52,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00053.jpg,0.630266,0,0,0,0,0,0,,14.824,0.630266,12.035,0.000,37.836
53,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00054.jpg,0.509901,0,0,0,0,0,0,,14.685,0.509901,13.785,0.000,38.584
54,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00055.jpg,0.757477,0,0,0,0,0,0,,13.668,0.757477,13.365,0.000,36.033
