param_name,module_idx,module_name,shape,grad_l2,delta_l2,max_abs_delta,optimizer_member
model.12.cv1.conv.weight,12,C2f,"(128, 384, 1, 1)",0.00000000e+00,0.00000000e+00,0.00000000e+00,1
model.12.cv1.bn.weight,12,C2f,"(128,)",0.00000000e+00,0.00000000e+00,0.00000000e+00,1
model.12.cv1.bn.bias,12,C2f,"(128,)",0.00000000e+00,0.00000000e+00,0.00000000e+00,1
model.12.cv2.conv.weight,12,C2f,"(128, 192, 1, 1)",0.00000000e+00,0.00000000e+00,0.00000000e+00,1
model.12.cv2.bn.weight,12,C2f,"(128,)",0.00000000e+00,0.00000000e+00,0.00000000e+00,1
model.12.cv2.bn.bias,12,C2f,"(128,)",0.00000000e+00,0.00000000e+00,0.00000000e+00,1
model.12.m.0.cv1.conv.weight,12,C2f,"(64, 64, 3, 3)",0.00000000e+00,0.00000000e+00,0.00000000e+00,1
model.12.m.0.cv1.bn.weight,12,C2f,"(64,)",0.00000000e+00,0.00000000e+00,0.00000000e+00,1
model.12.m.0.cv1.bn.bias,12,C2f,"(64,)",0.00000000e+00,0.00000000e+00,0.00000000e+00,1
model.12.m.0.cv2.conv.weight,12,C2f,"(64, 64, 3, 3)",0.00000000e+00,0.00000000e+00,0.00000000e+00,1
model.12.m.0.cv2.bn.weight,12,C2f,"(64,)",0.00000000e+00,0.00000000e+00,0.00000000e+00,1
model.12.m.0.cv2.bn.bias,12,C2f,"(64,)",0.00000000e+00,0.00000000e+00,0.00000000e+00,1
model.15.cv1.conv.weight,15,C2f,"(64, 192, 1, 1)",0.00000000e+00,0.00000000e+00,0.00000000e+00,1
model.15.cv1.bn.weight,15,C2f,"(64,)",0.00000000e+00,0.00000000e+00,0.00000000e+00,1
model.15.cv1.bn.bias,15,C2f,"(64,)",0.00000000e+00,0.00000000e+00,0.00000000e+00,1
model.15.cv2.conv.weight,15,C2f,"(64, 96, 1, 1)",0.00000000e+00,0.00000000e+00,0.00000000e+00,1
model.15.cv2.bn.weight,15,C2f,"(64,)",0.00000000e+00,0.00000000e+00,0.00000000e+00,1
model.15.cv2.bn.bias,15,C2f,"(64,)",0.00000000e+00,0.00000000e+00,0.00000000e+00,1
model.15.m.0.cv1.conv.weight,15,C2f,"(32, 32, 3, 3)",0.00000000e+00,0.00000000e+00,0.00000000e+00,1
model.15.m.0.cv1.bn.weight,15,C2f,"(32,)",0.00000000e+00,0.00000000e+00,0.00000000e+00,1
model.15.m.0.cv1.bn.bias,15,C2f,"(32,)",0.00000000e+00,0.00000000e+00,0.00000000e+00,1
model.15.m.0.cv2.conv.weight,15,C2f,"(32, 32, 3, 3)",0.00000000e+00,0.00000000e+00,0.00000000e+00,1
model.15.m.0.cv2.bn.weight,15,C2f,"(32,)",0.00000000e+00,0.00000000e+00,0.00000000e+00,1
model.15.m.0.cv2.bn.bias,15,C2f,"(32,)",0.00000000e+00,0.00000000e+00,0.00000000e+00,1
model.16.conv.weight,16,Conv,"(64, 64, 3, 3)",0.00000000e+00,0.00000000e+00,0.00000000e+00,1
model.16.bn.weight,16,Conv,"(64,)",0.00000000e+00,0.00000000e+00,0.00000000e+00,1
model.16.bn.bias,16,Conv,"(64,)",0.00000000e+00,0.00000000e+00,0.00000000e+00,1
model.18.cv1.conv.weight,18,C2f,"(128, 192, 1, 1)",0.00000000e+00,0.00000000e+00,0.00000000e+00,1
model.18.cv1.bn.weight,18,C2f,"(128,)",0.00000000e+00,0.00000000e+00,0.00000000e+00,1
model.18.cv1.bn.bias,18,C2f,"(128,)",0.00000000e+00,0.00000000e+00,0.00000000e+00,1
model.18.cv2.conv.weight,18,C2f,"(128, 192, 1, 1)",0.00000000e+00,0.00000000e+00,0.00000000e+00,1
model.18.cv2.bn.weight,18,C2f,"(128,)",0.00000000e+00,0.00000000e+00,0.00000000e+00,1
model.18.cv2.bn.bias,18,C2f,"(128,)",0.00000000e+00,0.00000000e+00,0.00000000e+00,1
model.18.m.0.cv1.conv.weight,18,C2f,"(64, 64, 3, 3)",0.00000000e+00,0.00000000e+00,0.00000000e+00,1
model.18.m.0.cv1.bn.weight,18,C2f,"(64,)",0.00000000e+00,0.00000000e+00,0.00000000e+00,1
model.18.m.0.cv1.bn.bias,18,C2f,"(64,)",0.00000000e+00,0.00000000e+00,0.00000000e+00,1
model.18.m.0.cv2.conv.weight,18,C2f,"(64, 64, 3, 3)",0.00000000e+00,0.00000000e+00,0.00000000e+00,1
model.18.m.0.cv2.bn.weight,18,C2f,"(64,)",0.00000000e+00,0.00000000e+00,0.00000000e+00,1
model.18.m.0.cv2.bn.bias,18,C2f,"(64,)",0.00000000e+00,0.00000000e+00,0.00000000e+00,1
model.19.conv.weight,19,Conv,"(128, 128, 3, 3)",0.00000000e+00,0.00000000e+00,0.00000000e+00,1
model.19.bn.weight,19,Conv,"(128,)",0.00000000e+00,0.00000000e+00,0.00000000e+00,1
model.19.bn.bias,19,Conv,"(128,)",0.00000000e+00,0.00000000e+00,0.00000000e+00,1
model.21.cv1.conv.weight,21,C2f,"(256, 384, 1, 1)",0.00000000e+00,0.00000000e+00,0.00000000e+00,1
model.21.cv1.bn.weight,21,C2f,"(256,)",0.00000000e+00,0.00000000e+00,0.00000000e+00,1
model.21.cv1.bn.bias,21,C2f,"(256,)",0.00000000e+00,0.00000000e+00,0.00000000e+00,1
model.21.cv2.conv.weight,21,C2f,"(256, 384, 1, 1)",0.00000000e+00,0.00000000e+00,0.00000000e+00,1
model.21.cv2.bn.weight,21,C2f,"(256,)",0.00000000e+00,0.00000000e+00,0.00000000e+00,1
model.21.cv2.bn.bias,21,C2f,"(256,)",0.00000000e+00,0.00000000e+00,0.00000000e+00,1
model.21.m.0.cv1.conv.weight,21,C2f,"(128, 128, 3, 3)",0.00000000e+00,0.00000000e+00,0.00000000e+00,1
model.21.m.0.cv1.bn.weight,21,C2f,"(128,)",0.00000000e+00,0.00000000e+00,0.00000000e+00,1
model.21.m.0.cv1.bn.bias,21,C2f,"(128,)",0.00000000e+00,0.00000000e+00,0.00000000e+00,1
model.21.m.0.cv2.conv.weight,21,C2f,"(128, 128, 3, 3)",0.00000000e+00,0.00000000e+00,0.00000000e+00,1
model.21.m.0.cv2.bn.weight,21,C2f,"(128,)",0.00000000e+00,0.00000000e+00,0.00000000e+00,1
model.21.m.0.cv2.bn.bias,21,C2f,"(128,)",0.00000000e+00,0.00000000e+00,0.00000000e+00,1
model.22.cv2.0.0.conv.weight,22,Detect,"(64, 64, 3, 3)",0.00000000e+00,0.00000000e+00,0.00000000e+00,1
model.22.cv2.0.0.bn.weight,22,Detect,"(64,)",0.00000000e+00,0.00000000e+00,0.00000000e+00,1
model.22.cv2.0.0.bn.bias,22,Detect,"(64,)",0.00000000e+00,0.00000000e+00,0.00000000e+00,1
model.22.cv2.0.1.conv.weight,22,Detect,"(64, 64, 3, 3)",0.00000000e+00,0.00000000e+00,0.00000000e+00,1
model.22.cv2.0.1.bn.weight,22,Detect,"(64,)",0.00000000e+00,0.00000000e+00,0.00000000e+00,1
model.22.cv2.0.1.bn.bias,22,Detect,"(64,)",0.00000000e+00,0.00000000e+00,0.00000000e+00,1
model.22.cv2.0.2.weight,22,Detect,"(64, 64, 1, 1)",0.00000000e+00,5.17608495e-07,5.96046448e-08,1
model.22.cv2.0.2.bias,22,Detect,"(64,)",0.00000000e+00,2.26835940e-06,4.76837158e-07,1
model.22.cv2.1.0.conv.weight,22,Detect,"(64, 128, 3, 3)",0.00000000e+00,0.00000000e+00,0.00000000e+00,1
model.22.cv2.1.0.bn.weight,22,Detect,"(64,)",0.00000000e+00,0.00000000e+00,0.00000000e+00,1
model.22.cv2.1.0.bn.bias,22,Detect,"(64,)",0.00000000e+00,0.00000000e+00,0.00000000e+00,1
model.22.cv2.1.1.conv.weight,22,Detect,"(64, 64, 3, 3)",0.00000000e+00,0.00000000e+00,0.00000000e+00,1
model.22.cv2.1.1.bn.weight,22,Detect,"(64,)",0.00000000e+00,0.00000000e+00,0.00000000e+00,1
model.22.cv2.1.1.bn.bias,22,Detect,"(64,)",0.00000000e+00,0.00000000e+00,0.00000000e+00,1
model.22.cv2.1.2.weight,22,Detect,"(64, 64, 1, 1)",0.00000000e+00,1.19251605e-06,1.19209290e-07,1
