frame,path,teacher_top1_conf,accepted,num_pseudo_boxes_used,buffer_size,prototype_memory_size,update_applied,updates_this_frame,batch_size_used,det_loss,prototype_loss,total_loss,teacher_latency_ms,student_post_conf,student_post_latency_ms,update_latency_ms,frame_latency_ms
0,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00001.jpg,0.641050,0,0,0,0,0,0,0,,,,266.026,0.641050,102.811,0.000,390.278
1,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00002.jpg,0.641050,0,0,0,0,0,0,0,,,,63.359,0.641050,50.647,0.000,139.960
2,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00003.jpg,0.776870,0,0,0,0,0,0,0,,,,48.521,0.776870,47.996,0.000,109.165
3,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00004.jpg,0.680403,0,0,0,0,0,0,0,,,,48.116,0.680403,54.558,0.000,115.972
4,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00005.jpg,0.748082,0,0,0,0,0,0,0,,,,46.717,0.748082,43.697,0.000,102.143
5,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00006.jpg,0.748082,0,0,0,0,0,0,0,,,,45.429,0.748082,48.172,0.000,104.527
6,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00007.jpg,0.774316,0,0,0,0,0,0,0,,,,42.322,0.774316,68.235,0.000,122.287
7,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00008.jpg,0.762945,0,0,0,0,0,0,0,,,,45.740,0.762945,49.109,0.000,106.548
8,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00009.jpg,0.787778,0,0,0,0,0,0,0,,,,46.497,0.787778,45.690,0.000,104.447
9,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00010.jpg,0.269129,0,0,0,0,0,0,0,,,,43.062,0.269129,42.158,0.000,96.329
10,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00011.jpg,0.735115,0,0,0,0,0,0,0,,,,44.096,0.735115,44.964,0.000,100.101
11,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00012.jpg,0.720599,0,0,0,0,0,0,0,,,,43.077,0.720599,42.888,0.000,97.855
12,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00013.jpg,0.629047,0,0,0,0,0,0,0,,,,43.269,0.629047,42.920,0.000,98.192
13,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00014.jpg,0.710418,0,0,0,0,0,0,0,,,,46.309,0.710418,44.329,0.000,103.056
14,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00015.jpg,0.710418,0,0,0,0,0,0,0,,,,41.914,0.710418,43.812,0.000,97.686
15,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00016.jpg,0.609015,0,0,0,0,0,0,0,,,,44.893,0.609015,45.577,0.000,101.741
16,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00017.jpg,0.766660,0,0,0,0,0,0,0,,,,68.502,0.766660,42.530,0.000,122.220
17,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00018.jpg,0.758256,0,0,0,0,0,0,0,,,,45.241,0.758256,43.719,0.000,101.948
18,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00019.jpg,0.777367,0,0,0,0,0,0,0,,,,41.349,0.777367,43.543,0.000,96.235
19,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00020.jpg,0.777367,1,0,1,1,0,0,0,,,,42.954,0.777367,42.987,0.000,96.768
20,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00021.jpg,0.850852,0,0,1,1,0,0,0,,,,42.982,0.850852,44.984,0.000,99.278
21,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00022.jpg,0.837114,0,0,1,1,0,0,0,,,,45.205,0.837114,42.823,0.000,99.413
22,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00023.jpg,0.837613,0,0,1,1,0,0,0,,,,43.899,0.837613,43.838,0.000,99.944
23,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00024.jpg,0.839832,0,0,1,1,0,0,0,,,,47.952,0.839832,44.452,0.000,103.961
24,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00025.jpg,0.855587,0,0,1,1,0,0,0,,,,43.103,0.855587,44.225,0.000,100.114
25,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00026.jpg,0.761116,0,0,1,1,0,0,0,,,,43.190,0.761116,45.895,0.000,100.012
26,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00027.jpg,0.796147,0,0,1,1,0,0,0,,,,68.902,0.796147,44.743,0.000,127.073
27,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00028.jpg,0.777079,0,0,1,1,0,0,0,,,,43.737,0.777079,41.034,0.000,96.000
28,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00029.jpg,0.806996,0,0,1,1,0,0,0,,,,42.459,0.806996,43.535,0.000,97.045
29,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00030.jpg,0.786442,0,0,1,1,0,0,0,,,,41.710,0.786442,41.104,0.000,94.148
30,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00031.jpg,0.574883,0,0,1,1,0,0,0,,,,42.155,0.574883,42.155,0.000,95.213
31,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00032.jpg,0.677393,0,0,1,1,0,0,0,,,,42.506,0.677393,42.351,0.000,96.849
32,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00033.jpg,0.697629,0,0,1,1,0,0,0,,,,41.846,0.697629,42.669,0.000,95.528
33,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00034.jpg,0.697629,0,0,1,1,0,0,0,,,,45.113,0.697629,44.068,0.000,100.195
34,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00035.jpg,0.690364,0,0,1,1,0,0,0,,,,42.014,0.690364,41.078,0.000,93.788
35,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00036.jpg,0.709392,0,0,1,1,0,0,0,,,,40.253,0.709392,42.135,0.000,93.445
36,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00037.jpg,0.641117,0,0,1,1,0,0,0,,,,67.195,0.641117,40.967,0.000,118.581
37,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00038.jpg,0.707162,0,0,1,1,0,0,0,,,,40.931,0.707162,41.225,0.000,92.962
38,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00039.jpg,0.582540,0,0,1,1,0,0,0,,,,40.903,0.582540,42.747,0.000,94.337
39,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00040.jpg,0.654117,0,0,1,1,0,0,0,,,,40.977,0.654117,41.756,0.000,94.558
40,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00041.jpg,0.810224,0,0,1,1,0,0,0,,,,40.676,0.810224,42.064,0.000,93.415
41,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00042.jpg,0.807607,0,0,1,1,0,0,0,,,,43.952,0.807607,43.156,0.000,100.383
42,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00043.jpg,0.755024,0,0,1,1,0,0,0,,,,38.820,0.755024,40.053,0.000,89.800
43,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00044.jpg,0.755024,0,0,1,1,0,0,0,,,,44.290,0.755024,42.688,0.000,99.443
