frame,path,width,height,teacher_det,teacher_conf,teacher_x1,teacher_y1,teacher_x2,teacher_y2,teacher_iou_prev,student_pre_det,student_pre_conf,student_pre_x1,student_pre_y1,student_pre_x2,student_pre_y2,student_pre_iou_prev,student_post_det,student_post_conf,student_post_x1,student_post_y1,student_post_x2,student_post_y2,student_post_iou_prev,pseudo_accepted,update_applied,loss_total,loss_box,loss_cls,loss_dfl,latency_teacher_ms,latency_student_pre_ms,latency_student_post_ms
0,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00001.jpg,1936,1216,1,0.641048,752.749,0.000,1914.445,728.373,,1,0.641048,752.749,0.000,1914.445,728.373,,1,0.641048,752.749,0.000,1914.445,728.373,,0,0,,,,,16.814,43.871,13.748
1,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00002.jpg,1936,1216,1,0.641048,752.749,0.000,1914.445,728.373,1.000000,1,0.641048,752.749,0.000,1914.445,728.373,1.000000,1,0.641048,752.749,0.000,1914.445,728.373,1.000000,0,0,,,,,13.615,13.194,13.735
2,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00003.jpg,1936,1216,1,0.776923,749.080,1.238,1918.230,687.362,0.936337,1,0.776923,749.080,1.238,1918.230,687.362,0.936337,1,0.776923,749.080,1.238,1918.230,687.362,0.936337,0,0,,,,,13.199,12.786,13.192
3,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00004.jpg,1936,1216,1,0.680275,721.015,0.000,1857.528,640.475,0.862490,1,0.680275,721.015,0.000,1857.528,640.475,0.862490,1,0.680275,721.015,0.000,1857.528,640.475,0.862490,0,0,,,,,12.895,12.820,12.832
4,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00005.jpg,1936,1216,1,0.748070,575.243,1.812,1922.516,636.829,0.837492,1,0.748070,575.243,1.812,1922.516,636.829,0.837492,1,0.748070,575.243,1.812,1922.516,636.829,0.837492,0,0,,,,,11.820,12.194,11.779
5,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00006.jpg,1936,1216,1,0.748070,575.243,1.812,1922.516,636.829,1.000000,1,0.748070,575.243,1.812,1922.516,636.829,1.000000,1,0.748070,575.243,1.812,1922.516,636.829,1.000000,0,0,,,,,12.412,12.573,12.058
6,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00007.jpg,1936,1216,1,0.774327,564.674,4.452,1920.253,659.071,0.953133,1,0.774327,564.674,4.452,1920.253,659.071,0.953133,1,0.774327,564.674,4.452,1920.253,659.071,0.953133,0,0,,,,,12.329,11.708,12.263
7,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00008.jpg,1936,1216,1,0.762984,337.162,0.000,1936.000,1216.000,0.456431,1,0.762984,337.162,0.000,1936.000,1216.000,0.456431,1,0.762984,337.162,0.000,1936.000,1216.000,0.456431,0,0,,,,,12.050,11.893,11.764
8,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00009.jpg,1936,1216,1,0.787730,346.831,0.000,1936.000,1216.000,0.993952,1,0.787730,346.831,0.000,1936.000,1216.000,0.993952,1,0.787730,346.831,0.000,1936.000,1216.000,0.993952,0,0,,,,,11.817,12.132,12.080
9,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00010.jpg,1936,1216,1,0.269051,901.341,90.906,1565.675,622.778,0.182848,1,0.269051,901.341,90.906,1565.675,622.778,0.182848,1,0.269051,901.341,90.906,1565.675,622.778,0.182848,0,0,,,,,12.815,12.187,11.751
10,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00011.jpg,1936,1216,1,0.735096,524.697,0.000,1883.592,644.442,0.403481,1,0.735096,524.697,0.000,1883.592,644.442,0.403481,1,0.735096,524.697,0.000,1883.592,644.442,0.403481,0,0,,,,,11.770,11.755,12.594
11,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00012.jpg,1936,1216,1,0.720707,618.756,0.000,1892.726,678.100,0.881686,1,0.720707,618.756,0.000,1892.726,678.100,0.881686,1,0.720707,618.756,0.000,1892.726,678.100,0.881686,0,0,,,,,13.415,13.320,12.613
12,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00013.jpg,1936,1216,1,0.629040,620.478,0.000,1905.431,733.145,0.914640,1,0.629040,620.478,0.000,1905.431,733.145,0.914640,1,0.629040,620.478,0.000,1905.431,733.145,0.914640,0,0,,,,,12.788,12.055,12.222
13,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00014.jpg,1936,1216,1,0.710388,620.291,0.000,1908.912,687.070,0.934654,1,0.710388,620.291,0.000,1908.912,687.070,0.934654,1,0.710388,620.291,0.000,1908.912,687.070,0.934654,0,0,,,,,13.448,12.834,12.636
14,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00015.jpg,1936,1216,1,0.710388,620.291,0.000,1908.912,687.070,1.000000,1,0.710388,620.291,0.000,1908.912,687.070,1.000000,1,0.710388,620.291,0.000,1908.912,687.070,1.000000,0,0,,,,,13.002,12.343,12.589
15,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00016.jpg,1936,1216,1,0.608971,625.319,0.000,1899.918,801.122,0.849618,1,0.608971,625.319,0.000,1899.918,801.122,0.849618,1,0.608971,625.319,0.000,1899.918,801.122,0.849618,0,0,,,,,13.133,13.306,12.920
16,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00017.jpg,1936,1216,1,0.766669,364.453,0.000,1936.000,1216.000,0.534332,1,0.766669,364.453,0.000,1936.000,1216.000,0.534332,1,0.766669,364.453,0.000,1936.000,1216.000,0.534332,0,0,,,,,11.682,11.651,11.623
17,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00018.jpg,1936,1216,1,0.758212,442.884,0.000,1936.000,1216.000,0.950093,1,0.758212,442.884,0.000,1936.000,1216.000,0.950093,1,0.758212,442.884,0.000,1936.000,1216.000,0.950093,0,0,,,,,13.463,12.421,12.051
18,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00019.jpg,1936,1216,1,0.777303,700.867,509.335,1107.677,797.211,0.064501,1,0.777303,700.867,509.335,1107.677,797.211,0.064501,1,0.777303,700.867,509.335,1107.677,797.211,0.064501,0,0,,,,,12.144,12.234,12.116
19,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00020.jpg,1936,1216,1,0.777303,700.867,509.335,1107.677,797.211,1.000000,1,0.777303,700.867,509.335,1107.677,797.211,1.000000,1,0.777177,700.868,509.333,1107.663,797.191,0.999887,1,1,3.314641,0.871482,1.435353,1.007806,12.641,13.060,17.073
20,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00021.jpg,1936,1216,1,0.850804,710.834,0.000,1928.237,645.566,0.063680,1,0.850615,710.782,0.000,1928.242,645.557,0.063683,1,0.850615,710.782,0.000,1928.242,645.557,0.063682,0,0,,,,,12.955,12.930,12.597
21,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00022.jpg,1936,1216,1,0.837108,710.079,0.000,1927.850,640.929,0.991891,1,0.836896,710.056,0.000,1927.862,640.912,0.991908,1,0.836896,710.056,0.000,1927.862,640.912,0.991908,0,0,,,,,12.913,12.812,12.502
22,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00023.jpg,1936,1216,1,0.837600,703.442,0.000,1926.641,637.511,0.988321,1,0.837340,703.425,0.000,1926.635,637.504,0.988327,1,0.837340,703.425,0.000,1926.635,637.504,0.988327,0,0,,,,,13.262,12.181,12.108
23,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00024.jpg,1936,1216,1,0.839866,701.244,0.000,1926.453,636.910,0.997115,1,0.839609,701.277,0.000,1926.448,636.893,0.997140,1,0.839609,701.277,0.000,1926.448,636.893,0.997140,0,0,,,,,16.367,14.159,14.233
24,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00025.jpg,1936,1216,1,0.855657,687.264,0.000,1925.167,630.723,0.978193,1,0.855422,687.263,0.000,1925.176,630.751,0.978246,1,0.855422,687.263,0.000,1925.176,630.751,0.978246,0,0,,,,,12.844,12.265,12.283
25,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00026.jpg,1936,1216,1,0.761185,405.602,0.000,1936.000,1216.000,0.419553,1,0.760829,405.616,0.000,1936.000,1216.000,0.419579,1,0.760829,405.616,0.000,1936.000,1216.000,0.419579,0,0,,,,,11.992,11.903,12.697
26,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00027.jpg,1936,1216,1,0.796229,667.720,0.000,1911.696,648.199,0.433294,1,0.795904,667.721,0.000,1911.769,648.222,0.433339,1,0.795904,667.721,0.000,1911.769,648.222,0.433339,0,0,,,,,11.845,11.863,11.583
27,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00028.jpg,1936,1216,1,0.777021,678.486,0.000,1913.878,638.929,0.975482,1,0.776836,678.485,0.000,1913.934,638.899,0.975416,1,0.776836,678.485,0.000,1913.934,638.899,0.975416,0,0,,,,,12.873,12.584,12.592
28,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00029.jpg,1936,1216,1,0.807003,689.500,0.792,1925.836,633.540,0.972178,1,0.806778,689.483,0.787,1925.826,633.531,0.972282,1,0.806778,689.483,0.787,1925.826,633.531,0.972282,0,0,,,,,12.634,13.934,14.194
29,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00030.jpg,1936,1216,1,0.786563,685.788,0.449,1929.575,649.805,0.968586,1,0.786371,685.790,0.452,1929.575,649.802,0.968597,1,0.786371,685.790,0.452,1929.575,649.802,0.968597,0,0,,,,,12.778,13.016,13.284
30,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00031.jpg,1936,1216,1,0.574371,680.589,0.000,1929.072,1185.326,0.545428,1,0.574352,680.586,0.000,1929.099,1185.333,0.545423,1,0.574352,680.586,0.000,1929.099,1185.333,0.545423,0,0,,,,,12.150,11.712,12.515
31,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00032.jpg,1936,1216,1,0.677554,713.695,498.540,1144.391,844.937,0.100815,1,0.677646,713.695,498.546,1144.370,844.906,0.100796,1,0.677646,713.695,498.546,1144.370,844.906,0.100796,0,0,,,,,12.934,12.388,12.463
32,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00033.jpg,1936,1216,1,0.697885,715.281,499.180,1146.442,846.947,0.984082,1,0.697772,715.282,499.178,1146.425,846.885,0.984181,1,0.697772,715.282,499.178,1146.425,846.885,0.984181,0,0,,,,,11.817,11.826,12.900
33,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00034.jpg,1936,1216,1,0.697885,715.281,499.180,1146.442,846.947,1.000000,1,0.697772,715.282,499.178,1146.425,846.885,1.000000,1,0.697772,715.282,499.178,1146.425,846.885,1.000000,0,0,,,,,12.525,12.270,12.895
34,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00035.jpg,1936,1216,1,0.690228,689.803,0.000,1921.253,1209.229,0.100693,1,0.690096,689.803,0.000,1921.254,1209.240,0.100671,1,0.690096,689.803,0.000,1921.254,1209.240,0.100671,0,0,,,,,12.002,12.031,11.956
35,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00036.jpg,1936,1216,1,0.709151,680.386,0.000,1930.097,1207.872,0.984299,1,0.708760,680.326,0.000,1930.098,1207.864,0.984236,1,0.708760,680.326,0.000,1930.098,1207.864,0.984236,0,0,,,,,12.766,12.486,12.116
