frame,path,width,height,teacher_det,teacher_conf,teacher_x1,teacher_y1,teacher_x2,teacher_y2,teacher_iou_prev,student_pre_det,student_pre_conf,student_pre_x1,student_pre_y1,student_pre_x2,student_pre_y2,student_pre_iou_prev,student_post_det,student_post_conf,student_post_x1,student_post_y1,student_post_x2,student_post_y2,student_post_iou_prev,student_delta_conf,student_pre_post_iou,student_pre_post_center_shift,pseudo_accepted,update_applied,loss_total,loss_box,loss_cls,loss_dfl,latency_teacher_ms,latency_student_pre_ms,latency_student_post_ms
0,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00001.jpg,1936,1216,1,0.641048,752.749,0.000,1914.445,728.373,,1,0.641048,752.749,0.000,1914.445,728.373,,1,0.641048,752.749,0.000,1914.445,728.373,,0.000000,1.000000,0.000000,0,0,,,,,14.114,47.037,14.316
1,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00002.jpg,1936,1216,1,0.641048,752.749,0.000,1914.445,728.373,1.000000,1,0.641048,752.749,0.000,1914.445,728.373,1.000000,1,0.641048,752.749,0.000,1914.445,728.373,1.000000,0.000000,1.000000,0.000000,0,0,,,,,14.285,13.449,13.226
2,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00003.jpg,1936,1216,1,0.776923,749.080,1.238,1918.230,687.362,0.936337,1,0.776923,749.080,1.238,1918.230,687.362,0.936337,1,0.776923,749.080,1.238,1918.230,687.362,0.936337,0.000000,1.000000,0.000000,0,0,,,,,13.341,12.954,13.050
3,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00004.jpg,1936,1216,1,0.680275,721.015,0.000,1857.528,640.475,0.862490,1,0.680275,721.015,0.000,1857.528,640.475,0.862490,1,0.680275,721.015,0.000,1857.528,640.475,0.862490,0.000000,1.000000,0.000000,0,0,,,,,13.298,13.087,13.188
4,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00005.jpg,1936,1216,1,0.748070,575.243,1.812,1922.516,636.829,0.837492,1,0.748070,575.243,1.812,1922.516,636.829,0.837492,1,0.748070,575.243,1.812,1922.516,636.829,0.837492,0.000000,1.000000,0.000000,0,0,,,,,12.324,12.200,11.952
5,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00006.jpg,1936,1216,1,0.748070,575.243,1.812,1922.516,636.829,1.000000,1,0.748070,575.243,1.812,1922.516,636.829,1.000000,1,0.748070,575.243,1.812,1922.516,636.829,1.000000,0.000000,1.000000,0.000000,0,0,,,,,13.023,12.431,12.545
6,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00007.jpg,1936,1216,1,0.774327,564.674,4.452,1920.253,659.071,0.953133,1,0.774327,564.674,4.452,1920.253,659.071,0.953133,1,0.774327,564.674,4.452,1920.253,659.071,0.953133,0.000000,1.000000,0.000000,0,0,,,,,12.266,12.052,12.465
7,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00008.jpg,1936,1216,1,0.762984,337.162,0.000,1936.000,1216.000,0.456431,1,0.762984,337.162,0.000,1936.000,1216.000,0.456431,1,0.762984,337.162,0.000,1936.000,1216.000,0.456431,0.000000,1.000000,0.000000,0,0,,,,,12.034,12.215,12.014
8,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00009.jpg,1936,1216,1,0.787730,346.831,0.000,1936.000,1216.000,0.993952,1,0.787730,346.831,0.000,1936.000,1216.000,0.993952,1,0.787730,346.831,0.000,1936.000,1216.000,0.993952,0.000000,1.000000,0.000000,0,0,,,,,12.084,11.701,11.864
9,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00010.jpg,1936,1216,1,0.269051,901.341,90.906,1565.675,622.778,0.182848,1,0.269051,901.341,90.906,1565.675,622.778,0.182848,1,0.269051,901.341,90.906,1565.675,622.778,0.182848,0.000000,1.000000,0.000000,0,0,,,,,13.850,12.329,11.786
10,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00011.jpg,1936,1216,1,0.735096,524.697,0.000,1883.592,644.442,0.403481,1,0.735096,524.697,0.000,1883.592,644.442,0.403481,1,0.735096,524.697,0.000,1883.592,644.442,0.403481,0.000000,1.000000,0.000000,0,0,,,,,12.606,13.812,12.734
11,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00012.jpg,1936,1216,1,0.720707,618.756,0.000,1892.726,678.100,0.881686,1,0.720707,618.756,0.000,1892.726,678.100,0.881686,1,0.720707,618.756,0.000,1892.726,678.100,0.881686,0.000000,1.000000,0.000000,0,0,,,,,12.826,12.541,12.450
12,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00013.jpg,1936,1216,1,0.629040,620.478,0.000,1905.431,733.145,0.914640,1,0.629040,620.478,0.000,1905.431,733.145,0.914640,1,0.629040,620.478,0.000,1905.431,733.145,0.914640,0.000000,1.000000,0.000000,0,0,,,,,12.448,12.527,12.731
13,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00014.jpg,1936,1216,1,0.710388,620.291,0.000,1908.912,687.070,0.934654,1,0.710388,620.291,0.000,1908.912,687.070,0.934654,1,0.710388,620.291,0.000,1908.912,687.070,0.934654,0.000000,1.000000,0.000000,0,0,,,,,14.054,13.261,12.951
14,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00015.jpg,1936,1216,1,0.710388,620.291,0.000,1908.912,687.070,1.000000,1,0.710388,620.291,0.000,1908.912,687.070,1.000000,1,0.710388,620.291,0.000,1908.912,687.070,1.000000,0.000000,1.000000,0.000000,0,0,,,,,13.276,13.929,15.164
15,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00016.jpg,1936,1216,1,0.608971,625.319,0.000,1899.918,801.122,0.849618,1,0.608971,625.319,0.000,1899.918,801.122,0.849618,1,0.608971,625.319,0.000,1899.918,801.122,0.849618,0.000000,1.000000,0.000000,0,0,,,,,12.804,12.576,12.880
16,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00017.jpg,1936,1216,1,0.766669,364.453,0.000,1936.000,1216.000,0.534332,1,0.766669,364.453,0.000,1936.000,1216.000,0.534332,1,0.766669,364.453,0.000,1936.000,1216.000,0.534332,0.000000,1.000000,0.000000,0,0,,,,,11.597,11.669,11.435
17,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00018.jpg,1936,1216,1,0.758212,442.884,0.000,1936.000,1216.000,0.950093,1,0.758212,442.884,0.000,1936.000,1216.000,0.950093,1,0.758212,442.884,0.000,1936.000,1216.000,0.950093,0.000000,1.000000,0.000000,0,0,,,,,13.726,12.436,11.899
18,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00019.jpg,1936,1216,1,0.777303,700.867,509.335,1107.677,797.211,0.064501,1,0.777303,700.867,509.335,1107.677,797.211,0.064501,1,0.777303,700.867,509.335,1107.677,797.211,0.064501,0.000000,1.000000,0.000000,0,0,,,,,12.119,12.218,12.083
19,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00020.jpg,1936,1216,1,0.777303,700.867,509.335,1107.677,797.211,1.000000,1,0.777303,700.867,509.335,1107.677,797.211,1.000000,1,0.776923,700.871,509.328,1107.633,797.144,0.999624,-0.000380,0.999624,0.042612,1,1,3.314641,0.871482,1.435353,1.007806,12.848,12.644,16.877
20,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00021.jpg,1936,1216,1,0.850804,710.834,0.000,1928.237,645.566,0.063680,1,0.850201,710.781,0.000,1928.242,645.556,0.063683,1,0.850201,710.781,0.000,1928.242,645.556,0.063682,0.000000,1.000000,0.000000,0,0,,,,,13.863,13.370,13.632
21,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00022.jpg,1936,1216,1,0.837107,710.079,0.000,1927.850,640.929,0.991891,1,0.836448,710.056,0.000,1927.862,640.911,0.991908,1,0.836448,710.056,0.000,1927.862,640.911,0.991908,0.000000,1.000000,0.000000,0,0,,,,,13.418,13.420,13.548
22,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00023.jpg,1936,1216,1,0.837600,703.442,0.000,1926.641,637.511,0.988321,1,0.836885,703.425,0.000,1926.635,637.503,0.988328,1,0.836885,703.425,0.000,1926.635,637.503,0.988328,0.000000,1.000000,0.000000,0,0,,,,,13.317,12.647,12.650
23,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00024.jpg,1936,1216,1,0.839866,701.244,0.000,1926.453,636.910,0.997115,1,0.839154,701.277,0.000,1926.448,636.893,0.997140,1,0.839154,701.277,0.000,1926.448,636.893,0.997140,0.000000,1.000000,0.000000,0,0,,,,,13.128,12.719,12.486
24,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00025.jpg,1936,1216,1,0.855657,687.264,0.000,1925.167,630.723,0.978193,1,0.855061,687.263,0.000,1925.176,630.749,0.978244,1,0.855061,687.263,0.000,1925.176,630.749,0.978244,0.000000,1.000000,0.000000,0,0,,,,,12.570,12.575,12.911
25,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00026.jpg,1936,1216,1,0.761185,405.602,0.000,1936.000,1216.000,0.419553,1,0.760233,405.616,0.000,1936.000,1216.000,0.419578,1,0.760233,405.616,0.000,1936.000,1216.000,0.419578,0.000000,1.000000,0.000000,0,0,,,,,12.528,12.723,12.724
26,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00027.jpg,1936,1216,1,0.796229,667.720,0.000,1911.696,648.199,0.433294,1,0.795423,667.721,0.000,1911.770,648.222,0.433339,1,0.795423,667.721,0.000,1911.770,648.222,0.433339,0.000000,1.000000,0.000000,0,0,,,,,12.212,11.997,11.945
27,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00028.jpg,1936,1216,1,0.777020,678.486,0.000,1913.878,638.929,0.975482,1,0.776348,678.485,0.000,1913.935,638.899,0.975415,1,0.776348,678.485,0.000,1913.935,638.899,0.975415,0.000000,1.000000,0.000000,0,0,,,,,12.837,12.692,12.250
28,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00029.jpg,1936,1216,1,0.807002,689.500,0.792,1925.836,633.540,0.972178,1,0.806315,689.483,0.787,1925.826,633.531,0.972282,1,0.806315,689.483,0.787,1925.826,633.531,0.972282,0.000000,1.000000,0.000000,0,0,,,,,12.441,12.760,12.164
29,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00030.jpg,1936,1216,1,0.786563,685.788,0.449,1929.575,649.805,0.968586,1,0.785890,685.790,0.452,1929.575,649.802,0.968595,1,0.785890,685.790,0.452,1929.575,649.802,0.968595,0.000000,1.000000,0.000000,0,0,,,,,13.026,13.076,12.177
30,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00031.jpg,1936,1216,1,0.574370,680.589,0.000,1929.072,1185.326,0.545428,1,0.573746,680.586,0.000,1929.099,1185.334,0.545423,1,0.573746,680.586,0.000,1929.099,1185.334,0.545423,0.000000,1.000000,0.000000,0,0,,,,,12.124,12.202,12.020
31,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00032.jpg,1936,1216,1,0.677553,713.695,498.540,1144.391,844.937,0.100815,1,0.677330,713.697,498.541,1144.340,844.837,0.100770,1,0.677330,713.697,498.541,1144.340,844.837,0.100770,0.000000,1.000000,0.000000,0,0,,,,,12.722,12.186,12.180
32,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00033.jpg,1936,1216,1,0.697884,715.281,499.180,1146.442,846.947,0.984082,1,0.697462,715.283,499.173,1146.392,846.816,0.984187,1,0.697462,715.283,499.173,1146.392,846.816,0.984187,0.000000,1.000000,0.000000,0,0,,,,,12.155,12.041,12.303
33,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00034.jpg,1936,1216,1,0.697884,715.281,499.180,1146.442,846.947,1.000000,1,0.697462,715.283,499.173,1146.392,846.816,1.000000,1,0.697462,715.283,499.173,1146.392,846.816,1.000000,0.000000,1.000000,0.000000,0,0,,,,,12.437,12.112,12.446
34,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00035.jpg,1936,1216,1,0.690227,689.803,0.000,1921.253,1209.229,0.100693,1,0.689531,689.803,0.000,1921.254,1209.241,0.100645,1,0.689531,689.803,0.000,1921.254,1209.241,0.100645,0.000000,1.000000,0.000000,0,0,,,,,12.528,12.252,12.054
35,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00036.jpg,1936,1216,1,0.709150,680.386,0.000,1930.097,1207.872,0.984299,1,0.708206,680.326,0.000,1930.098,1207.864,0.984236,1,0.708206,680.326,0.000,1930.098,1207.864,0.984236,0.000000,1.000000,0.000000,0,0,,,,,13.457,13.325,12.255
36,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00037.jpg,1936,1216,1,0.641119,755.573,0.399,1918.920,643.078,0.495306,1,0.640262,755.522,0.403,1918.904,643.083,0.495300,1,0.640262,755.522,0.403,1918.904,643.083,0.495300,0.000000,1.000000,0.000000,0,0,,,,,11.696,11.961,11.806
37,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00038.jpg,1936,1216,1,0.707170,609.874,1.258,1905.337,628.505,0.859529,1,0.706425,609.881,1.258,1905.379,628.472,0.859570,1,0.706425,609.881,1.258,1905.379,628.472,0.859570,0.000000,1.000000,0.000000,0,0,,,,,13.093,13.097,12.563
38,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00039.jpg,1936,1216,1,0.582486,734.366,456.695,1160.812,1079.622,0.072907,1,0.581947,734.370,456.665,1160.772,1079.450,0.072905,1,0.581947,734.370,456.665,1160.772,1079.450,0.072905,0.000000,1.000000,0.000000,0,0,,,,,12.768,12.940,12.601
39,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00040.jpg,1936,1216,1,0.654011,691.757,0.000,1930.423,1211.252,0.177057,1,0.653274,691.750,0.000,1930.421,1211.235,0.177000,1,0.653274,691.750,0.000,1930.421,1211.235,0.177000,0.000000,1.000000,0.000000,0,0,,,,,13.425,13.088,12.850
