frame,path,teacher_top1_conf,accepted,accepted_final,passed_base_gate,passed_motion_gate,passed_persistence_gate,persistence_count,temporal_iou,persistence_iou,center_shift_frac,area_ratio,num_pseudo_boxes_used,buffer_size,prototype_memory_size,update_applied,updates_this_frame,batch_size_used,det_loss,prototype_loss,total_loss,teacher_latency_ms,student_post_conf,student_post_latency_ms,update_latency_ms,frame_latency_ms
0,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00001.jpg,0.641048,0,0,0,1,0,0,,,,,0,0,0,0,0,0,,,,13.633,0.641048,49.527,0.000,86.636
1,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00002.jpg,0.641048,0,0,0,1,0,0,,,0.000000,1.000000,0,0,0,0,0,0,,,,14.892,0.641048,13.451,0.000,42.877
2,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00003.jpg,0.776923,0,0,0,1,0,0,,,0.016354,1.054807,0,0,0,0,0,0,,,,13.328,0.776923,12.902,0.000,37.844
3,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00004.jpg,0.680275,0,0,0,1,0,0,,,0.030284,1.102039,0,0,0,0,0,0,,,,13.072,0.680275,13.031,0.000,35.577
4,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00005.jpg,0.748070,0,0,0,1,0,0,,,0.020877,1.175343,0,0,0,0,0,0,,,,12.055,0.748070,11.651,0.000,33.802
5,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00006.jpg,0.748070,0,0,0,1,0,0,,,0.000000,1.000000,0,0,0,0,0,0,,,,13.691,0.748070,13.533,0.000,37.498
6,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00007.jpg,0.774327,0,0,0,1,0,0,,,0.010755,1.037224,0,0,0,0,0,0,,,,14.781,0.774327,13.710,0.000,38.593
7,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00008.jpg,0.762984,0,0,0,0,0,0,,,0.233661,2.190912,0,0,0,0,0,0,,,,12.529,0.762984,12.390,0.000,34.867
8,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00009.jpg,0.787730,0,0,0,1,0,0,,,0.002497,1.006085,0,0,0,0,0,0,,,,12.228,0.787730,11.795,0.000,34.266
9,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00010.jpg,0.269051,0,0,0,0,0,0,,,0.211951,5.469030,0,0,0,0,0,0,,,,12.377,0.269051,12.291,0.000,33.488
10,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00011.jpg,0.735096,0,0,0,1,0,0,,,0.032259,2.478429,0,0,0,0,0,0,,,,12.076,0.735096,11.841,0.000,33.986
11,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00012.jpg,0.720707,0,0,0,1,0,0,,,0.030030,1.013718,0,0,0,0,0,0,,,,12.938,0.720707,12.726,0.000,35.044
12,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00013.jpg,0.629040,0,0,0,1,0,0,,,0.022938,1.090497,0,0,0,0,0,0,,,,12.635,0.629040,12.700,0.000,36.474
13,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00014.jpg,0.710388,0,0,0,1,0,0,,,0.018965,1.064024,0,0,0,0,0,0,,,,13.248,0.710388,12.650,0.000,36.848
14,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00015.jpg,0.710388,0,0,0,1,0,0,,,0.000000,1.000000,0,0,0,0,0,0,,,,12.978,0.710388,12.779,0.000,34.816
15,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00016.jpg,0.608971,0,0,0,1,0,0,,,0.046908,1.153310,0,0,0,0,0,0,,,,13.085,0.608971,13.147,0.000,37.084
16,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00017.jpg,0.766669,0,0,0,1,0,0,,,0.180199,1.871497,0,0,0,0,0,0,,,,13.200,0.766669,12.486,0.000,36.149
17,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00018.jpg,0.758212,0,0,0,1,0,0,,,0.020256,1.052528,0,0,0,0,0,0,,,,12.848,0.758212,12.179,0.000,35.402
18,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00019.jpg,0.777303,0,0,0,0,0,0,,,0.151931,15.503540,0,0,0,0,0,0,,,,12.407,0.777303,11.999,0.000,35.046
19,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00020.jpg,0.777303,0,0,0,1,0,0,,,0.000000,1.000000,0,0,0,0,0,0,,,,14.560,0.777303,12.626,0.000,37.949
20,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00021.jpg,0.850822,0,0,0,0,0,0,,,0.346226,6.711087,0,0,0,0,0,0,,,,13.436,0.850822,12.527,0.000,39.084
21,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00022.jpg,0.837120,0,0,0,1,0,0,,,0.001931,1.006961,0,0,0,0,0,0,,,,14.542,0.837120,13.237,0.000,37.254
22,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00023.jpg,0.837567,0,0,0,1,0,0,,,0.002466,1.000904,0,0,0,0,0,0,,,,12.983,0.837567,12.439,0.000,34.808
23,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00024.jpg,0.839836,0,0,0,1,0,0,,,0.000653,1.000644,0,0,0,0,0,0,,,,13.203,0.839836,12.976,0.000,35.333
24,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00025.jpg,0.855603,0,0,0,1,0,0,,,0.004687,1.000654,0,0,0,0,0,0,,,,14.557,0.855603,13.141,0.000,39.561
25,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00026.jpg,0.761126,0,0,0,0,0,0,,,0.250604,2.383342,0,0,0,0,0,0,,,,12.754,0.761126,12.179,0.000,35.351
26,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00027.jpg,0.796143,0,0,0,0,0,0,,,0.241409,2.307664,0,0,0,0,0,0,,,,12.606,0.796143,12.365,0.000,34.072
27,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00028.jpg,0.777080,0,0,0,1,0,0,,,0.005084,1.021655,0,0,0,0,0,0,,,,12.740,0.777080,12.954,0.000,35.135
28,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00029.jpg,0.807009,0,0,0,1,0,0,,,0.006205,1.008997,0,0,0,0,0,0,,,,12.290,0.807009,12.410,0.000,34.036
29,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00030.jpg,0.786611,0,0,0,1,0,0,,,0.006552,1.032420,0,0,0,0,0,0,,,,13.679,0.786611,12.944,0.000,35.876
30,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00031.jpg,0.574654,0,0,0,0,0,0,,,0.220021,1.832352,0,0,0,0,0,0,,,,12.510,0.574654,12.240,0.000,33.681
31,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00032.jpg,0.677804,0,0,0,0,0,0,,,0.204716,9.919765,0,0,0,0,0,0,,,,13.117,0.677804,12.600,0.000,34.726
