frame,path,teacher_conf,accepted,accepted_final,passed_base_gate,passed_motion_gate,passed_persistence_gate,teacher_num_candidates,teacher_selected_rank,teacher_selected_score,teacher_selected_score_conf,teacher_selected_score_temporal,teacher_selected_score_memory,persistence_count,temporal_iou,persistence_iou,center_shift_frac,area_ratio,num_pseudo_boxes_used,buffer_size,update_event_triggered,update_applied,updates_this_frame,batch_size_used,det_loss,total_loss,teacher_latency_ms,student_post_conf,student_post_latency_ms,update_latency_ms,frame_latency_ms
0,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00001.jpg,0.641048,0,0,0,1,0,1,1,0.641048,0.641048,0.000000,,0,,,,,0,0,0,0,0,0,,,14.621,0.641048,44.939,0.000,81.661
1,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00002.jpg,0.641048,0,0,0,1,0,1,1,1.641048,0.641048,1.000000,,0,,,0.000000,1.000000,0,0,0,0,0,0,,,15.655,0.641048,13.773,0.000,44.595
2,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00003.jpg,0.776923,0,0,0,1,0,1,1,1.605282,0.776923,0.828359,,0,,,0.016354,1.054807,0,0,0,0,0,0,,,13.354,0.776923,13.474,0.000,38.323
3,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00004.jpg,0.680275,0,0,0,1,0,1,1,1.362378,0.680275,0.682103,,0,,,0.030284,1.102039,0,0,0,0,0,0,,,14.055,0.680275,12.936,0.000,37.901
4,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00005.jpg,0.748070,0,0,0,1,0,1,1,1.410459,0.748070,0.662390,,0,,,0.020877,1.175343,0,0,0,0,0,0,,,12.119,0.748070,12.159,0.000,34.873
5,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00006.jpg,0.748070,0,0,0,1,0,1,1,1.748070,0.748070,1.000000,,0,,,0.000000,1.000000,0,0,0,0,0,0,,,12.966,0.748070,12.355,0.000,35.760
6,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00007.jpg,0.774327,0,0,0,1,0,1,1,1.653825,0.774327,0.879498,,0,,,0.010755,1.037224,0,0,0,0,0,0,,,13.459,0.774327,12.630,0.000,35.958
7,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00008.jpg,0.762984,0,0,0,0,0,1,1,0.762984,0.762984,0.000000,,0,,,0.233661,2.190912,0,0,0,0,0,0,,,12.479,0.762984,12.794,0.000,35.285
8,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00009.jpg,0.787730,0,0,0,1,0,1,1,1.765290,0.787730,0.977559,,0,,,0.002497,1.006085,0,0,0,0,0,0,,,12.165,0.787730,14.564,0.000,35.544
9,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00010.jpg,0.269051,0,0,0,0,0,1,1,0.269051,0.269051,0.000000,,0,,,0.211951,5.469030,0,0,0,0,0,0,,,12.885,0.269051,12.478,0.000,35.820
10,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00011.jpg,0.735096,0,0,0,1,0,1,1,0.739963,0.735096,0.004866,,0,,,0.032259,2.478429,0,0,0,0,0,0,,,11.998,0.735096,11.788,0.000,33.851
11,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00012.jpg,0.720707,0,0,0,1,0,1,1,1.463155,0.720707,0.742448,,0,,,0.030030,1.013718,0,0,0,0,0,0,,,14.949,0.720707,13.101,0.000,38.993
12,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00013.jpg,0.629040,0,0,0,1,0,1,1,1.389926,0.629040,0.760885,,0,,,0.022938,1.090497,0,0,0,0,0,0,,,13.076,0.629040,12.302,0.000,36.119
13,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00014.jpg,0.710388,0,0,0,1,0,1,1,1.520305,0.710388,0.809917,,0,,,0.018965,1.064024,0,0,0,0,0,0,,,13.953,0.710388,13.023,0.000,36.933
14,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00015.jpg,0.710388,0,0,0,1,0,1,1,1.710388,0.710388,1.000000,,0,,,0.000000,1.000000,0,0,0,0,0,0,,,14.044,0.710388,12.860,0.000,38.186
15,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00016.jpg,0.608971,0,0,0,1,0,1,1,1.192851,0.608971,0.583880,,0,,,0.046908,1.153310,0,0,0,0,0,0,,,13.624,0.608971,13.301,0.000,36.467
16,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00017.jpg,0.766669,0,0,0,1,0,1,1,0.788835,0.766669,0.022166,,0,,,0.180199,1.871497,0,0,0,0,0,0,,,11.651,0.766669,12.362,0.000,34.420
17,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00018.jpg,0.758212,0,0,0,1,0,1,1,1.582178,0.758212,0.823966,,0,,,0.020256,1.052528,0,0,0,0,0,0,,,12.504,0.758212,12.440,0.000,35.665
18,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00019.jpg,0.593200,0,0,0,1,0,2,2,1.150427,0.593200,0.557227,,0,,,0.053537,1.167476,0,0,0,0,0,0,,,12.785,0.777303,12.440,0.000,45.241
19,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00020.jpg,0.593200,0,0,0,1,0,2,2,1.593200,0.593200,1.000000,,0,,,0.000000,1.000000,0,0,0,0,0,0,,,13.947,0.777303,13.248,0.000,48.882
20,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00021.jpg,0.850822,0,0,0,0,0,2,1,0.850822,0.850822,0.000000,,0,,,0.232174,1.978745,0,0,0,0,0,0,,,13.917,0.850822,13.669,0.000,37.425
21,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00022.jpg,0.837120,0,0,0,1,0,2,1,1.814892,0.837120,0.977772,,0,,,0.001931,1.006961,0,0,0,0,0,0,,,13.362,0.837120,13.117,0.000,36.421
22,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00023.jpg,0.837567,0,0,0,1,0,2,1,1.813120,0.837567,0.975553,,0,,,0.002466,1.000904,0,0,0,0,0,0,,,12.330,0.837567,12.588,0.000,35.610
23,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00024.jpg,0.839836,0,0,0,1,0,1,1,1.833293,0.839836,0.993457,,0,,,0.000653,1.000644,0,0,0,0,0,0,,,14.392,0.839836,13.317,0.000,39.589
24,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00025.jpg,0.855603,0,0,0,1,0,1,1,1.810507,0.855603,0.954905,,0,,,0.004687,1.000654,0,0,0,0,0,0,,,12.727,0.855603,13.521,0.000,35.916
25,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00026.jpg,0.761126,0,0,0,0,0,1,1,0.761126,0.761126,0.000000,,0,,,0.250604,2.383342,0,0,0,0,0,0,,,13.227,0.761126,13.825,0.000,38.034
26,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00027.jpg,0.796143,0,0,0,0,0,2,1,0.796143,0.796143,0.000000,,0,,,0.241409,2.307664,0,0,0,0,0,0,,,13.499,0.796143,12.288,0.000,36.301
27,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00028.jpg,0.777080,0,0,0,1,0,2,1,1.713976,0.777080,0.936896,,0,,,0.005084,1.021655,0,0,0,0,0,0,,,13.471,0.777080,13.444,0.000,38.020
28,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00029.jpg,0.807009,0,0,0,1,0,2,1,1.743478,0.807009,0.936468,,0,,,0.006205,1.008997,0,0,0,0,0,0,,,12.295,0.807009,12.134,0.000,34.935
29,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00030.jpg,0.786611,0,0,0,1,0,2,1,1.703227,0.786611,0.916616,,0,,,0.006552,1.032420,0,0,0,0,0,0,,,13.465,0.786611,12.913,0.000,37.571
30,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00031.jpg,0.574654,0,0,0,0,0,2,1,0.574654,0.574654,0.000000,,0,,,0.220021,1.832352,0,0,0,0,0,0,,,13.355,0.574654,13.096,0.000,35.306
31,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00032.jpg,0.677804,0,0,0,0,0,2,1,0.677804,0.677804,0.000000,,0,,,0.204716,9.919765,0,0,0,0,0,0,,,14.183,0.677804,12.902,0.000,38.448
32,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00033.jpg,0.697927,0,0,0,1,0,2,1,1.671833,0.697927,0.973906,,0,,,0.001428,1.004984,0,0,0,0,0,0,,,12.180,0.697927,12.642,0.000,35.162
33,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00034.jpg,0.697927,0,0,0,1,0,2,1,1.697927,0.697927,1.000000,,0,,,0.000000,1.000000,0,0,0,0,0,0,,,12.982,0.697927,13.141,0.000,35.784
34,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00035.jpg,0.453176,0,0,0,1,0,2,2,1.098044,0.453176,0.644868,,0,,,0.025500,1.171926,0,0,0,0,0,0,,,12.622,0.690378,13.140,0.000,46.199
35,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00036.jpg,0.564345,0,0,0,1,0,2,2,0.834954,0.564345,0.270610,,0,,,0.079027,1.487239,0,0,0,0,0,0,,,14.515,0.709036,13.726,0.000,49.331
