frame,path,active_conf,active_latency_ms,shadow_teacher_conf,shadow_student_conf,shadow_teacher_latency_ms,shadow_student_latency_ms,shadow_update_latency_ms,shadow_update_applied,shadow_updates_this_frame,shadow_buffer_size,shadow_accepted,update_paused,throttle_weird_rate,throttle_box_jump_rate,active_weights
0,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00001.jpg,0.6410484910011292,551.3311157226562,0.6410484910011292,0.6410484910011292,48.30409622192383,47.99372863769531,0.0,0,0,0,0,0,nan,nan,/home/hm25936/mae/runs/yolov8_baseline/baseline/weights/best.pt
1,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00002.jpg,0.6410484910011292,15.966752052307129,0.6410484910011292,0.6410484910011292,15.719743728637695,12.408672332763672,0.0,0,0,0,0,0,nan,nan,/home/hm25936/mae/runs/yolov8_baseline/baseline/weights/best.pt
2,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00003.jpg,0.7769232392311096,14.193887710571289,0.7769232392311096,0.7769232392311096,13.142687797546387,13.46787166595459,0.0,0,0,0,0,0,nan,nan,/home/hm25936/mae/runs/yolov8_baseline/baseline/weights/best.pt
3,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00004.jpg,0.6802746653556824,12.307328224182129,0.6802746653556824,0.6802746653556824,12.442463874816895,12.390111923217773,0.0,0,0,0,0,0,nan,nan,/home/hm25936/mae/runs/yolov8_baseline/baseline/weights/best.pt
4,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00005.jpg,0.7480698227882385,11.643487930297852,0.7480698227882385,0.7480698227882385,11.749695777893066,12.536767959594727,0.0,0,0,0,0,0,nan,nan,/home/hm25936/mae/runs/yolov8_baseline/baseline/weights/best.pt
5,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00006.jpg,0.7480698227882385,11.840543746948242,0.7480698227882385,0.7480698227882385,11.541024208068848,11.69491195678711,0.0,0,0,0,0,0,nan,nan,/home/hm25936/mae/runs/yolov8_baseline/baseline/weights/best.pt
6,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00007.jpg,0.774327278137207,15.224767684936523,0.774327278137207,0.774327278137207,12.204447746276855,11.6429443359375,0.0,0,0,0,0,0,nan,nan,/home/hm25936/mae/runs/yolov8_baseline/baseline/weights/best.pt
7,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00008.jpg,0.762984037399292,11.030719757080078,0.762984037399292,0.762984037399292,11.168288230895996,11.382368087768555,0.0,0,0,0,0,0,nan,nan,/home/hm25936/mae/runs/yolov8_baseline/baseline/weights/best.pt
8,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00009.jpg,0.7877304553985596,12.12342357635498,0.7877304553985596,0.7877304553985596,11.57744026184082,11.697728157043457,0.0,0,0,0,0,0,nan,nan,/home/hm25936/mae/runs/yolov8_baseline/baseline/weights/best.pt
9,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00010.jpg,0.2690509557723999,11.962112426757812,0.2690509557723999,0.2690509557723999,12.513855934143066,11.33135986328125,0.0,0,0,0,0,0,nan,nan,/home/hm25936/mae/runs/yolov8_baseline/baseline/weights/best.pt
10,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00011.jpg,0.7350962162017822,12.385663986206055,0.7350962162017822,0.7350962162017822,11.762687683105469,11.968735694885254,0.0,0,0,0,0,0,nan,nan,/home/hm25936/mae/runs/yolov8_baseline/baseline/weights/best.pt
11,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00012.jpg,0.7207067012786865,16.333984375,0.7207067012786865,0.7207067012786865,18.43631935119629,12.388383865356445,0.0,0,0,0,0,0,nan,nan,/home/hm25936/mae/runs/yolov8_baseline/baseline/weights/best.pt
12,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00013.jpg,0.6290404200553894,12.089280128479004,0.6290404200553894,0.6290404200553894,13.366720199584961,14.122400283813477,0.0,0,0,0,0,0,nan,nan,/home/hm25936/mae/runs/yolov8_baseline/baseline/weights/best.pt
13,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00014.jpg,0.7103884220123291,12.261183738708496,0.7103884220123291,0.7103884220123291,12.068256378173828,12.23084831237793,0.0,0,0,0,0,0,nan,nan,/home/hm25936/mae/runs/yolov8_baseline/baseline/weights/best.pt
14,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00015.jpg,0.7103884220123291,12.227264404296875,0.7103884220123291,0.7103884220123291,12.253120422363281,12.256287574768066,0.0,0,0,0,0,0,nan,nan,/home/hm25936/mae/runs/yolov8_baseline/baseline/weights/best.pt
15,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00016.jpg,0.6089706420898438,12.208000183105469,0.6089706420898438,0.6089706420898438,12.198368072509766,12.231648445129395,0.0,0,0,0,0,0,nan,nan,/home/hm25936/mae/runs/yolov8_baseline/baseline/weights/best.pt
16,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00017.jpg,0.7666690945625305,11.447936058044434,0.7666690945625305,0.7666690945625305,11.625760078430176,12.645536422729492,0.0,0,0,0,0,0,nan,nan,/home/hm25936/mae/runs/yolov8_baseline/baseline/weights/best.pt
17,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00018.jpg,0.758212149143219,12.113984107971191,0.758212149143219,0.758212149143219,11.199359893798828,11.588576316833496,0.0,0,0,0,0,0,nan,nan,/home/hm25936/mae/runs/yolov8_baseline/baseline/weights/best.pt
18,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00019.jpg,0.777303159236908,11.94825553894043,0.5931999087333679,0.777303159236908,11.655391693115234,11.750592231750488,0.0,0,0,0,0,0,nan,nan,/home/hm25936/mae/runs/yolov8_baseline/baseline/weights/best.pt
19,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00020.jpg,0.777303159236908,11.981856346130371,0.5931999087333679,0.777303159236908,11.965984344482422,11.784064292907715,0.0,0,0,0,0,0,nan,nan,/home/hm25936/mae/runs/yolov8_baseline/baseline/weights/best.pt
20,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00021.jpg,0.8508220911026001,12.229599952697754,0.8508220911026001,0.8508220911026001,12.54851245880127,12.619872093200684,0.0,0,0,0,0,1,0.8500000238418579,0.10000000149011612,/home/hm25936/mae/runs/yolov8_baseline/baseline/weights/best.pt
21,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00022.jpg,0.8371198177337646,13.504704475402832,0.8371198177337646,0.8371198177337646,12.857312202453613,12.959936141967773,0.0,0,0,0,0,1,0.8571428656578064,0.1428571492433548,/home/hm25936/mae/runs/yolov8_baseline/baseline/weights/best.pt
22,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00023.jpg,0.8375673294067383,12.973152160644531,0.8375673294067383,0.8375673294067383,12.058655738830566,12.460639953613281,0.0,0,0,0,0,1,0.8636363744735718,0.13636364042758942,/home/hm25936/mae/runs/yolov8_baseline/baseline/weights/best.pt
