frame,event,promoted,active_score,shadow_score,active_det_rate,shadow_det_rate,active_weird_rate,shadow_weird_rate,active_box_jump_rate,shadow_box_jump_rate,active_max_bad_streak,shadow_max_bad_streak,active_max_good_streak,shadow_max_good_streak,candidate_checkpoint,promoted_checkpoint,fail_reasons,consecutive_failures,promotions,rollbacks
500,reject,0,0.39599999526143076,0.4315000066906214,0.9900000095367432,0.8379999995231628,0.4620000123977661,0.3919999897480011,0.12800000607967377,0.10199999809265137,122.0,118.0,78.0,121.0,/home/hm25936/mae/odad/shadow_manager_full/checkpoints/shadow_frame_000500.pt,,"det_floor(shadow=0.8380, min=0.9500, relaxed=0);det_margin(shadow=0.8380, active=0.9900, margin=-0.0100)",1,0,0
1000,rollback,0,-0.06000001658499239,-0.4270000038621947,0.8899999856948853,0.3199999928474426,0.8700000047683716,0.7599999904632568,0.09200000017881393,0.14800000190734863,148.0,140.0,19.0,25.0,/home/hm25936/mae/odad/shadow_manager_full/checkpoints/shadow_frame_001000.pt,,"det_floor(shadow=0.3200, min=0.9500, relaxed=0);det_margin(shadow=0.3200, active=0.8900, margin=-0.0100);box_jump_not_improved(shadow=0.1480, active=0.0920);score_not_improved(shadow=-0.427000, active=-0.060000)",0,0,1
1500,reject,0,0.5764999809488653,0.699000002676621,0.8859999775886536,0.8240000009536743,0.3179999887943268,0.24199999868869781,0.0860000029206276,0.035999998450279236,87.0,36.0,94.0,97.0,/home/hm25936/mae/odad/shadow_manager_full/checkpoints/shadow_frame_001500.pt,,"det_floor(shadow=0.8240, min=0.9500, relaxed=0);det_margin(shadow=0.8240, active=0.8860, margin=-0.0100)",1,0,1
2000,rollback,0,-0.2680000392794609,-0.30249999088607726,0.9559999704360962,0.41200000047683716,0.9300000071525574,0.699999988079071,0.10400000214576721,0.18199999630451202,264.0,122.0,11.0,18.0,/home/hm25936/mae/odad/shadow_manager_full/checkpoints/shadow_frame_002000.pt,,"det_floor(shadow=0.4120, min=0.9500, relaxed=0);det_margin(shadow=0.4120, active=0.9560, margin=-0.0100);box_jump_not_improved(shadow=0.1820, active=0.1040);score_not_improved(shadow=-0.302500, active=-0.268000)",0,0,2
2500,reject,0,0.5370000281780958,0.4400000146068632,0.8500000238418579,0.7160000205039978,0.38999998569488525,0.35600000619888306,0.06400000303983688,0.06800000369548798,81.0,81.0,118.0,118.0,/home/hm25936/mae/odad/shadow_manager_full/checkpoints/shadow_frame_002500.pt,,"det_floor(shadow=0.7160, min=0.9500, relaxed=0);det_margin(shadow=0.7160, active=0.8500, margin=-0.0100);box_jump_not_improved(shadow=0.0680, active=0.0640);score_not_improved(shadow=0.440000, active=0.537000)",1,0,2
3000,rollback,0,-0.3585000026226044,-0.5814999599456787,0.9919999837875366,0.6740000247955322,0.9139999747276306,0.8399999737739563,0.12999999523162842,0.09399999678134918,277.0,390.0,24.0,28.0,/home/hm25936/mae/odad/shadow_manager_full/checkpoints/shadow_frame_003000.pt,,"det_floor(shadow=0.6740, min=0.9500, relaxed=0);det_margin(shadow=0.6740, active=0.9920, margin=-0.0100);max_bad_streak_not_improved(shadow=390, active=277);score_not_improved(shadow=-0.581500, active=-0.358500)",0,0,3
3500,reject,0,0.4070000036358833,0.2064999955892563,0.8339999914169312,0.5559999942779541,0.5299999713897705,0.4560000002384186,0.1120000034570694,0.10199999809265137,81.0,79.0,115.0,113.0,/home/hm25936/mae/odad/shadow_manager_full/checkpoints/shadow_frame_003500.pt,,"det_floor(shadow=0.5560, min=0.9500, relaxed=0);det_margin(shadow=0.5560, active=0.8340, margin=-0.0100);max_good_streak_or_score(shadow_good=113, active_good=115);score_not_improved(shadow=0.206500, active=0.407000)",1,0,3
4000,rollback,0,-0.10450001062452799,-0.28599997928738596,0.9779999852180481,0.550000011920929,0.7039999961853027,0.593999981880188,0.10599999874830246,0.18400000035762787,279.0,233.0,24.0,65.0,/home/hm25936/mae/odad/shadow_manager_full/checkpoints/shadow_frame_004000.pt,,"det_floor(shadow=0.5500, min=0.9500, relaxed=0);det_margin(shadow=0.5500, active=0.9780, margin=-0.0100);box_jump_not_improved(shadow=0.1840, active=0.1060);score_not_improved(shadow=-0.286000, active=-0.104500)",0,0,4
4500,reject,0,0.0575000122487545,0.09850000779330731,0.7580000162124634,0.7020000219345093,0.6660000085830688,0.6600000262260437,0.12600000202655792,0.12200000137090683,110.0,110.0,38.0,38.0,/home/hm25936/mae/odad/shadow_manager_full/checkpoints/shadow_frame_004500.pt,,"det_floor(shadow=0.7020, min=0.9500, relaxed=0);det_margin(shadow=0.7020, active=0.7580, margin=-0.0100)",1,0,4
5000,rollback,0,0.1060000018775463,0.41750001439452167,0.9800000190734863,0.7440000176429749,0.5580000281333923,0.42800000309944153,0.09600000083446503,0.0820000022649765,201.0,81.0,42.0,111.0,/home/hm25936/mae/odad/shadow_manager_full/checkpoints/shadow_frame_005000.pt,,"det_floor(shadow=0.7440, min=0.9500, relaxed=0);det_margin(shadow=0.7440, active=0.9800, margin=-0.0100)",0,0,5
5500,reject,0,-0.05149998882412911,-0.05149998882412911,0.8100000023841858,0.8100000023841858,0.8259999752044678,0.8259999752044678,0.1420000046491623,0.1420000046491623,127.0,127.0,15.0,15.0,/home/hm25936/mae/odad/shadow_manager_full/checkpoints/shadow_frame_005500.pt,,"det_floor(shadow=0.8100, min=0.9500, relaxed=0);score_not_improved(shadow=-0.051500, active=-0.051500)",1,0,5
6000,rollback,0,0.47500000262260433,0.6700000165589154,0.9760000109672546,0.8740000128746033,0.4180000126361847,0.27399998903274536,0.1120000034570694,0.10400000214576721,135.0,49.0,104.0,113.0,/home/hm25936/mae/odad/shadow_manager_full/checkpoints/shadow_frame_006000.pt,,"det_floor(shadow=0.8740, min=0.9500, relaxed=0);det_margin(shadow=0.8740, active=0.9760, margin=-0.0100)",0,0,6
6500,reject,0,-0.31949999429285525,-0.31949999429285525,0.8600000143051147,0.8600000143051147,0.8600000143051147,0.8600000143051147,0.10599999874830246,0.10599999874830246,256.0,256.0,27.0,27.0,/home/hm25936/mae/odad/shadow_manager_full/checkpoints/shadow_frame_006500.pt,,"det_floor(shadow=0.8600, min=0.9500, relaxed=0);score_not_improved(shadow=-0.319500, active=-0.319500)",1,0,6
