frame,event,mean_active_inference_latency_ms,p90_active_inference_latency_ms,estimated_fps,mean_shadow_teacher_latency_ms,mean_shadow_student_latency_ms,mean_shadow_update_latency_ms,peak_cuda_allocated_mb,peak_cuda_reserved_mb,current_cuda_allocated_mb,current_cuda_reserved_mb,checkpoint_size_mb,trainable_params
500,promotion_eval,12.813341892242432,12.564284324645996,78.04365234376748,11.702489358901978,11.84486490058899,542.3942116833238,445.5263671875,592.0,72.67822265625,592.0,5.913121223449707,751507
1000,promotion_eval,12.134974291801452,12.210169792175293,82.4064374553816,11.578010983467102,11.633219875335694,542.3942116833238,445.5263671875,592.0,72.67822265625,592.0,5.913121223449707,751507
1500,promotion_eval,12.03267971165975,12.358403205871582,83.1070072471881,11.625980891545614,11.805970595677694,550.413731824268,445.5263671875,602.0,72.67822265625,602.0,5.913121223449707,751507
2000,promotion_eval,11.84704178762436,12.314009666442871,84.40925742699909,11.536675267934799,11.682141288995743,548.6472302840816,445.5263671875,602.0,72.67822265625,602.0,5.913121223449707,751507
2500,promotion_eval,11.89098987083435,12.455093383789062,84.09728801912044,11.626252062034608,11.795354576683044,554.3967342733445,445.5263671875,602.0,72.67822265625,602.0,5.913121223449707,751507
3000,promotion_eval,12.001170599301656,12.689602851867676,83.3252049644382,11.774135020097097,11.925766150633494,556.5839901399077,445.5263671875,602.0,72.67822265625,602.0,5.913121223449707,751507
3500,promotion_eval,12.137057483945574,13.012511253356934,82.39229329866494,11.941983003752572,12.090197444234576,558.6509590942043,445.5263671875,602.0,72.67822265625,602.0,5.913121223449707,751507
4000,promotion_eval,12.100836338281631,12.997625350952148,82.63891619097826,11.914968405842782,12.064681187272072,562.3053488748599,445.5263671875,602.0,72.67822265625,602.0,5.913121223449707,751507
4500,promotion_eval,12.133510159386528,12.992121696472168,82.4163813162011,11.971645773887634,12.108880208863152,563.0976118456445,445.5263671875,602.0,72.67822265625,602.0,5.913121223449707,751507
5000,promotion_eval,12.165723675727845,12.991888046264648,82.19815168045665,12.004837299633026,12.165557532596589,571.0801821564542,445.5263671875,602.0,72.67822265625,602.0,5.913121223449707,751507
5500,promotion_eval,12.188550413825295,13.005001068115234,82.04421084116078,12.046723741097884,12.192255375341935,571.0801821564542,445.5263671875,602.0,69.7568359375,150.0,5.913121223449707,751507
6000,promotion_eval,12.205904883702596,13.005424499511719,81.9275596138068,12.058738734165827,12.231351926883061,575.924401003393,445.5263671875,602.0,72.67822265625,602.0,5.913121223449707,751507
6500,promotion_eval,12.197449067189144,12.994399070739746,81.98435545756669,12.064630738845239,12.222849186750558,575.924401003393,445.5263671875,602.0,69.7568359375,150.0,5.913121223449707,751507
6735,final,12.222619973984841,13.020095825195312,81.81551926906373,12.090949059169914,12.250947064369276,577.9613113955738,445.5263671875,602.0,72.67822265625,602.0,5.913121223449707,751507
