frame,event,mean_active_inference_latency_ms,p90_active_inference_latency_ms,estimated_fps,mean_shadow_teacher_latency_ms,mean_shadow_student_latency_ms,mean_shadow_update_latency_ms,peak_cuda_allocated_mb,peak_cuda_reserved_mb,current_cuda_allocated_mb,current_cuda_reserved_mb,checkpoint_size_mb,trainable_params
500,promotion_eval,13.79048670387268,13.352239608764648,72.51375687264013,12.593956607818603,13.389083486557007,553.9894991594812,443.3271484375,592.0,72.67236328125,592.0,5.913121223449707,750739
1000,promotion_eval,13.137706621170043,13.486592292785645,76.11678574010813,12.513897371292114,13.017961141586303,558.7338962596216,443.3271484375,592.0,72.67236328125,592.0,5.913121223449707,750739
1500,promotion_eval,13.047161509195963,13.508156776428223,76.64502346316287,12.591785505930583,13.145715594609579,565.9721736401973,443.9521484375,592.0,72.67236328125,584.0,5.913121223449707,750739
2000,promotion_eval,12.914321469783783,13.52031421661377,77.4334139303985,12.566153692245484,13.02222605419159,566.5850934903484,443.9521484375,592.0,72.67236328125,584.0,5.913121223449707,750739
2500,promotion_eval,12.957747785568237,13.61712646484375,77.17390526104818,12.64103546333313,13.211218581008911,567.2997611420031,443.9521484375,592.0,72.67236328125,584.0,5.913121223449707,750739
3000,promotion_eval,12.867674259821573,13.570124626159668,77.71412143392774,12.578076995531719,13.08020476436615,565.3134460188911,443.9521484375,592.0,72.67236328125,584.0,5.913121223449707,750739
3500,promotion_eval,12.940013030188425,13.670924186706543,77.27967488649728,12.675560964311872,13.159161405835833,564.7245081998714,443.9521484375,592.0,72.67236328125,584.0,5.913121223449707,750739
4000,promotion_eval,12.797114745855332,13.61571216583252,78.14261416417128,12.556706187009812,13.004203445911408,564.4895491374189,443.9521484375,592.0,72.67236328125,586.0,5.913121223449707,750739
4500,promotion_eval,12.785956292894152,13.600115776062012,78.21081013359588,12.560070285161336,12.996980321672227,564.0360468809826,443.9521484375,592.0,72.67236328125,586.0,5.913121223449707,750739
5000,promotion_eval,12.7436914768219,13.570528030395508,78.47019851498996,12.524973625183106,12.970326889038086,564.5564245279722,443.9521484375,592.0,72.67236328125,586.0,5.913121223449707,750739
5500,promotion_eval,12.754651958465576,13.620268821716309,78.40276655579578,12.546591819936578,12.983402930693194,564.9846325311555,443.9521484375,592.0,72.67236328125,586.0,5.913121223449707,750739
6000,promotion_eval,12.719640099048615,13.598345756530762,78.61857664312346,12.517760543823242,12.970933630784353,564.3131376940236,443.9521484375,592.0,72.67236328125,586.0,5.913121223449707,750739
6500,promotion_eval,12.686867094186637,13.584735870361328,78.82166594605685,12.495597060863789,12.924565144025362,563.6930581019556,443.9521484375,592.0,72.67236328125,586.0,5.913121223449707,750739
6735,final,12.695532579004277,13.591654777526855,78.76786529253513,12.504604688501393,12.935639742063255,562.7161347929807,443.9521484375,592.0,72.67236328125,584.0,5.913121223449707,750739
