frame,model,checkpoint,n_frames,det_rate_at_conf,mean_top1_conf,median_top1_conf,weird_box_rate,high_conf_weird_rate,box_jump_rate,bad_frame_rate,good_frame_rate,bad_streak_count,max_bad_streak,mean_bad_streak_len,p90_bad_streak_len,p95_bad_streak_len,long_bad_streak_count,max_good_streak,mean_good_streak_len,num_good_streaks,p90_good_streak_len,p95_good_streak_len,mean_inference_latency_ms,p90_inference_latency_ms,composite_score,promotion_score
500,active,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,500.0,0.9679999947547913,0.831460177898407,0.9700170755386353,0.27799999713897705,0.12999999523162842,0.1379999965429306,0.3319999873638153,0.6679999828338623,20.0,51.0,8.3,16.90001106262207,43.399993896484375,1.0,129.0,17.57894736842105,19.0,38.799903869628906,108.30001068115234,14.263380485534668,15.085554122924805,0.6875000011622906,0.6875000011622906
500,shadow,/home/hm25936/mae/odad/shadow_manager_streak_relaxed_diagnostic/checkpoints/shadow_frame_000500.pt,500.0,0.8220000267028809,0.7260345816612244,0.9021821022033691,0.1679999977350235,0.0020000000949949026,0.07800000160932541,0.23000000417232513,0.7699999809265137,14.0,60.0,8.214285714285714,15.099997520446777,33.3499755859375,1.0,168.0,29.615384615384617,13.0,97.5999526977539,133.19998168945312,14.356414785385132,15.105500221252441,0.7265000265808776,0.7265000265808776
1000,active,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,500.0,0.8740000128746033,0.6820623278617859,0.7899940609931946,0.5899999737739563,0.2800000011920929,0.1459999978542328,0.6899999976158142,0.3100000023841858,20.0,147.0,17.25,30.500032424926758,108.99996948242188,2.0,44.0,8.157894736842104,19.0,23.599979400634766,38.60000228881836,14.647206579208374,15.335765838623047,0.0795000270009041,0.0795000270009041
1000,shadow,/home/hm25936/mae/odad/shadow_manager_streak_relaxed_diagnostic/checkpoints/shadow_frame_001000.pt,500.0,0.8140000104904175,0.6649197936058044,0.7798298001289368,0.492000013589859,0.10199999809265137,0.08399999886751175,0.5559999942779541,0.4440000057220459,12.0,110.0,23.166666666666668,87.1999740600586,101.19999694824219,2.0,114.0,20.181818181818183,11.0,76.0,95.0,14.727590009689331,15.410457611083984,0.3480000054985285,0.3480000054985285
1500,active,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,500.0,0.9279999732971191,0.851825475692749,0.9844951033592224,0.02199999988079071,0.0,0.02199999988079071,0.07599999755620956,0.9240000247955322,11.0,15.0,3.4545454545454546,6.0,10.5,0.0,238.0,42.0,11.0,163.0,200.5,12.590018552780151,13.467151641845703,1.1084999734461307,1.1084999734461307
1500,shadow,/home/hm25936/mae/odad/shadow_manager_streak_relaxed_diagnostic/checkpoints/shadow_frame_001500.pt,500.0,0.9380000233650208,0.8822172284126282,0.9964982271194458,0.009999999776482582,0.0,0.014000000432133675,0.06800000369548798,0.9319999814033508,11.0,13.0,3.090909090909091,6.0,9.5,0.0,411.0,42.36363636363637,11.0,19.0,215.0,12.544244094848633,13.343180656433105,1.3075000231526792,1.3075000231526792
2000,active,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,500.0,0.8500000238418579,0.6600911021232605,0.7584065198898315,0.6759999990463257,0.2759999930858612,0.15199999511241913,0.7480000257492065,0.25200000405311584,13.0,88.0,28.76923076923077,76.39999389648438,82.0,3.0,49.0,9.692307692307692,13.0,28.599990844726562,38.19999313354492,12.349711864471436,12.996214866638184,0.13300003144145012,0.13300003144145012
2000,shadow,/home/hm25936/mae/odad/shadow_manager_streak_relaxed_diagnostic/checkpoints/shadow_frame_002000.pt,500.0,0.47999998927116394,0.40496471524238586,0.1865103542804718,0.4320000112056732,0.03200000151991844,0.20999999344348907,0.7080000042915344,0.2919999957084656,7.0,135.0,50.57142857142857,116.99998474121094,125.99999237060547,2.0,117.0,18.25,8.0,45.599971771240234,81.30001068115234,12.384154819488526,13.081808090209961,-0.0625000121742487,-0.0625000121742487
2500,active,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,500.0,0.7979999780654907,0.7006451487541199,0.9469242095947266,0.11599999666213989,0.024000000208616257,0.1120000034570694,0.30000001192092896,0.699999988079071,25.0,36.0,6.0,13.599998474121094,17.999996185302734,0.0,146.0,13.461538461538462,26.0,12.0,77.75,12.332560884475708,12.987884521484375,0.7179999770373106,0.7179999770373106
2500,shadow,/home/hm25936/mae/odad/shadow_manager_streak_relaxed_diagnostic/checkpoints/shadow_frame_002500.pt,500.0,0.7900000214576721,0.7259601950645447,0.9913068413734436,0.00800000037997961,0.0,0.03400000184774399,0.21400000154972076,0.7860000133514404,18.0,33.0,5.944444444444445,18.699993133544922,26.199996948242188,0.0,153.0,20.68421052631579,19.0,41.79987335205078,131.40000915527344,12.277078001022339,12.941039085388184,0.8475000198818743,0.8475000198818743
