checkpoint_index,checkpoint_frame,checkpoint,model_kind,eval_start_frame,eval_end_frame,active_reference_checkpoint,n_frames,det_rate_at_conf,mean_top1_conf,median_top1_conf,weird_box_rate,high_conf_weird_rate,box_jump_rate,bad_frame_rate,good_frame_rate,bad_streak_count,max_bad_streak,mean_bad_streak_len,p90_bad_streak_len,p95_bad_streak_len,long_bad_streak_count,max_good_streak,mean_good_streak_len,num_good_streaks,p90_good_streak_len,p95_good_streak_len,mean_inference_latency_ms,p90_inference_latency_ms,composite_score,promotion_score,checkpoint_size_mb,peak_cuda_allocated_mb,peak_cuda_reserved_mb,peak_memory_mb,active_ref_det_rate_delta,active_ref_composite_delta,active_ref_weird_delta,active_ref_box_jump_delta,active_ref_bad_streak_delta,active_ref_good_streak_delta,edge_feasible
1,500,/home/hm25936/mae/odad/shadow_manager_streak_relaxed_diagnostic/checkpoints/shadow_frame_000500.pt,shadow_checkpoint,0,499,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,500.0,0.8220000267028809,0.7259965538978577,0.902091383934021,0.1679999977350235,0.0020000000949949026,0.07800000160932541,0.23000000417232513,0.7699999809265137,14.0,60.0,8.214285714285714,15.099997520446777,33.3499755859375,1.0,168.0,29.615384615384617,13.0,97.5999526977539,133.19998168945312,12.181617330551147,12.891996383666992,0.7265000265808776,0.7265000265808776,5.913121223449707,95.6435546875,126.0,126.0,-0.1459999680519104,0.03900002541858705,-0.10999999940395355,-0.059999994933605194,9.0,39.0,1
2,1000,/home/hm25936/mae/odad/shadow_manager_streak_relaxed_diagnostic/checkpoints/shadow_frame_001000.pt,shadow_checkpoint,0,499,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,500.0,0.9580000042915344,0.85405433177948,0.9690002202987671,0.19599999487400055,0.026000000536441803,0.06400000303983688,0.2160000056028366,0.7839999794960022,8.0,68.0,13.5,33.69998550415039,50.850006103515625,1.0,239.0,56.0,7.0,169.9999542236328,204.49996948242188,12.228851392745971,12.877318382263184,0.9020000043064356,0.9020000043064356,5.913121223449707,95.6435546875,126.0,126.0,-0.009999990463256836,0.21450000314414497,-0.0820000022649765,-0.07399999350309372,17.0,110.0,1
3,1500,/home/hm25936/mae/odad/shadow_manager_streak_relaxed_diagnostic/checkpoints/shadow_frame_001500.pt,shadow_checkpoint,0,499,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,500.0,0.8460000157356262,0.7856243252754211,0.9898180961608887,0.16599999368190765,0.00800000037997961,0.0820000022649765,0.23800000548362732,0.7620000243186951,16.0,56.0,7.4375,14.0,28.25,1.0,161.0,25.4,15.0,98.39997100830078,130.90000915527344,12.214169918060303,12.882389068603516,0.7465000170059503,0.7465000170059503,5.913121223449707,95.6435546875,126.0,126.0,-0.12199997901916504,0.05900001584365966,-0.1120000034570694,-0.0559999942779541,5.0,32.0,1
4,2000,/home/hm25936/mae/odad/shadow_manager_streak_relaxed_diagnostic/checkpoints/shadow_frame_002000.pt,shadow_checkpoint,0,499,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,500.0,0.8519999980926514,0.7053130865097046,0.8182860016822815,0.20399999618530273,0.03200000151991844,0.09600000083446503,0.2939999997615814,0.7059999704360962,20.0,56.0,7.35,12.700002670288086,20.849971771240234,1.0,169.0,18.57894736842105,19.0,42.99993133544922,98.80003356933594,12.209230930328369,12.772054672241211,0.7189999986141921,0.7189999986141921,5.913121223449707,95.6435546875,126.0,126.0,-0.11599999666213989,0.03149999745190146,-0.07400000095367432,-0.041999995708465576,5.0,40.0,1
5,2500,/home/hm25936/mae/odad/shadow_manager_streak_relaxed_diagnostic/checkpoints/shadow_frame_002500.pt,shadow_checkpoint,0,499,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,500.0,0.8059999942779541,0.773789644241333,0.984674334526062,0.12600000202655792,0.0,0.06199999898672104,0.2160000056028366,0.7839999794960022,7.0,84.0,15.428571428571429,43.199974060058594,63.5999870300293,1.0,232.0,56.0,7.0,167.199951171875,199.5999755859375,12.277856847763061,12.899580955505371,0.7604999940246343,0.7604999940246343,5.913121223449707,95.6435546875,126.0,126.0,-0.16200000047683716,0.07299999286234371,-0.15199999511241913,-0.07599999755620956,33.0,103.0,1
6,3000,/home/hm25936/mae/odad/shadow_manager_streak_relaxed_diagnostic/checkpoints/shadow_frame_003000.pt,shadow_checkpoint,0,499,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,500.0,0.8500000238418579,0.776107668876648,0.9868612289428711,0.1860000044107437,0.006000000052154064,0.10599999874830246,0.26600000262260437,0.734000027179718,19.0,56.0,7.0,9.399986267089844,22.700014114379883,1.0,163.0,20.38888888888889,18.0,55.599937438964844,120.49998474121094,12.105143857955932,12.78685474395752,0.7255000225491822,0.7255000225491822,5.913121223449707,95.6435546875,126.0,126.0,-0.11799997091293335,0.038000021386891625,-0.09199999272823334,-0.03199999779462814,5.0,34.0,1
7,3500,/home/hm25936/mae/odad/shadow_manager_streak_relaxed_diagnostic/checkpoints/shadow_frame_003500.pt,shadow_checkpoint,0,499,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,500.0,0.8859999775886536,0.8128412365913391,0.9842797517776489,0.20800000429153442,0.012000000104308128,0.04600000008940697,0.23999999463558197,0.7599999904632568,9.0,83.0,13.333333333333334,28.599987030029297,55.79999542236328,1.0,163.0,47.5,8.0,134.29998779296875,148.65000915527344,12.201941051483153,12.791698455810547,0.7384999753236771,0.7384999753236771,5.913121223449707,95.6435546875,126.0,126.0,-0.0820000171661377,0.05099997416138646,-0.06999999284744263,-0.09199999645352364,32.0,34.0,1
8,4000,/home/hm25936/mae/odad/shadow_manager_streak_relaxed_diagnostic/checkpoints/shadow_frame_004000.pt,shadow_checkpoint,0,499,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,500.0,0.8859999775886536,0.6912410855293274,0.7733840346336365,0.3700000047683716,0.12200000137090683,0.13199999928474426,0.44200000166893005,0.5580000281333923,21.0,59.0,10.523809523809524,19.0,59.0,2.0,126.0,13.95,20.0,26.200016021728516,67.0999526977539,12.319365192413331,12.905122756958008,0.5489999750554562,0.5489999750554562,5.913121223449707,95.6435546875,126.0,126.0,-0.0820000171661377,-0.13850002610683443,0.09200000762939453,-0.00599999725818634,8.0,-3.0,1
9,4500,/home/hm25936/mae/odad/shadow_manager_streak_relaxed_diagnostic/checkpoints/shadow_frame_004500.pt,shadow_checkpoint,0,499,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,500.0,0.9539999961853027,0.8861642479896545,0.9928122758865356,0.17000000178813934,0.07400000095367432,0.03200000151991844,0.21799999475479126,0.7820000052452087,7.0,77.0,15.571428571428571,36.199974060058594,56.5999870300293,1.0,239.0,65.16666666666667,6.0,180.5,209.75,12.331021642684936,12.994898796081543,0.892999993674457,0.892999993674457,5.913121223449707,95.6435546875,126.0,126.0,-0.013999998569488525,0.20549999251216644,-0.10799999535083771,-0.10599999502301216,26.0,110.0,1
10,5000,/home/hm25936/mae/odad/shadow_manager_streak_relaxed_diagnostic/checkpoints/shadow_frame_005000.pt,shadow_checkpoint,0,499,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,500.0,0.8259999752044678,0.788516104221344,0.9895622730255127,0.14000000059604645,0.0020000000949949026,0.07800000160932541,0.23399999737739563,0.765999972820282,11.0,56.0,10.636363636363637,19.0,37.5,1.0,169.0,38.3,10.0,124.89997100830078,146.95001220703125,12.383730377197265,13.057788848876953,0.7534999736519531,0.7534999736519531,5.913121223449707,95.6435546875,126.0,126.0,-0.1420000195503235,0.0659999724896625,-0.1379999965429306,-0.059999994933605194,5.0,40.0,1
11,5500,/home/hm25936/mae/odad/shadow_manager_streak_relaxed_diagnostic/checkpoints/shadow_frame_005500.pt,shadow_checkpoint,0,499,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,500.0,0.9900000095367432,0.9157425761222839,0.9947385787963867,0.2160000056028366,0.09399999678134918,0.04800000041723251,0.23999999463558197,0.7599999904632568,8.0,81.0,15.0,37.59998321533203,59.30000686645508,1.0,235.0,54.285714285714285,7.0,165.9999542236328,200.49996948242188,12.219419946670532,12.827031135559082,0.8720000080317258,0.8720000080317258,5.913121223449707,95.6435546875,126.0,126.0,0.022000014781951904,0.18450000686943524,-0.06199999153614044,-0.08999999612569809,30.0,106.0,1
12,6000,/home/hm25936/mae/odad/shadow_manager_streak_relaxed_diagnostic/checkpoints/shadow_frame_006000.pt,shadow_checkpoint,0,499,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,500.0,0.8619999885559082,0.8209630250930786,0.9922683238983154,0.13199999928474426,0.012000000104308128,0.07199999690055847,0.21799999475479126,0.7820000052452087,14.0,39.0,7.785714285714286,18.099998474121094,25.999988555908203,0.0,174.0,30.076923076923077,13.0,103.99994659423828,140.3999786376953,12.252750326156617,12.806943893432617,0.8319999911859632,0.8319999911859632,5.913121223449707,95.6435546875,126.0,126.0,-0.10600000619888306,0.14449999002367264,-0.1459999978542328,-0.06599999964237213,-12.0,45.0,1
13,6500,/home/hm25936/mae/odad/shadow_manager_streak_relaxed_diagnostic/checkpoints/shadow_frame_006500.pt,shadow_checkpoint,0,499,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,500.0,0.9879999756813049,0.8743869662284851,0.9571012258529663,0.21799999475479126,0.07599999755620956,0.0560000017285347,0.24199999868869781,0.7580000162124634,9.0,83.0,13.444444444444445,31.79998779296875,57.399993896484375,1.0,224.0,47.375,8.0,126.69995880126953,175.35000610351562,12.188281852722168,12.834412574768066,0.8569999782294034,0.8569999782294034,5.913121223449707,95.6435546875,126.0,126.0,0.019999980926513672,0.16949997706711284,-0.06000000238418579,-0.0819999948143959,32.0,95.0,1
