frame,path,active_conf,active_latency_ms,shadow_teacher_conf,shadow_student_conf,shadow_teacher_latency_ms,shadow_student_latency_ms,shadow_update_latency_ms,shadow_update_applied,shadow_updates_this_frame,shadow_buffer_size,shadow_accepted,update_paused,throttle_weird_rate,throttle_box_jump_rate,active_weights,active_model_kind,promotion_policy,active_current_bad_streak
0,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00001.jpg,0.9597565531730652,534.2054443359375,0.9597565531730652,0.9597565531730652,28.263168334960938,26.462080001831055,0.0,0,0,0,0,0,nan,nan,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,1
1,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00002.jpg,0.9597565531730652,16.526079177856445,0.9597565531730652,0.9597565531730652,17.607072830200195,16.076927185058594,0.0,0,0,0,0,0,nan,nan,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,2
2,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00003.jpg,0.957534670829773,17.45155143737793,0.957534670829773,0.957534670829773,16.1777286529541,16.074432373046875,0.0,0,0,0,0,0,nan,nan,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,3
3,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00004.jpg,0.8129295706748962,16.169376373291016,0.8129295706748962,0.8129295706748962,15.734944343566895,14.91107177734375,0.0,0,0,0,0,0,nan,nan,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,4
4,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00005.jpg,0.9395751953125,15.268863677978516,0.9395751953125,0.9395751953125,15.24563217163086,14.576095581054688,0.0,0,0,0,0,0,nan,nan,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,5
5,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00006.jpg,0.9395751953125,14.713184356689453,0.9395751953125,0.9395751953125,14.426560401916504,14.532992362976074,0.0,0,0,0,0,0,nan,nan,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,6
6,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00007.jpg,0.921852707862854,14.536288261413574,0.921852707862854,0.921852707862854,14.920576095581055,15.05180835723877,0.0,0,0,0,0,0,nan,nan,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,7
7,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00008.jpg,0.5567307472229004,14.331104278564453,0.5567307472229004,0.5567307472229004,14.254752159118652,14.449664115905762,0.0,0,0,0,0,0,nan,nan,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,8
8,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00009.jpg,0.8343337178230286,14.45366382598877,0.8343337178230286,0.8343337178230286,15.231648445129395,15.904735565185547,0.0,0,0,0,0,0,nan,nan,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,9
9,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00010.jpg,0.1894940584897995,14.570048332214355,0.0,0.1894940584897995,14.44979190826416,14.840767860412598,0.0,0,0,0,0,0,nan,nan,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,10
10,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00011.jpg,0.8961352109909058,15.944160461425781,0.8961352109909058,0.8961352109909058,15.351136207580566,15.012639999389648,0.0,0,0,0,0,0,nan,nan,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,11
11,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00012.jpg,0.913781464099884,14.898336410522461,0.913781464099884,0.913781464099884,15.193984031677246,15.681632041931152,0.0,0,0,0,0,0,nan,nan,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,12
12,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00013.jpg,0.9142693877220154,15.098719596862793,0.9142693877220154,0.9142693877220154,15.784607887268066,15.915936470031738,0.0,0,0,0,0,0,nan,nan,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,13
13,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00014.jpg,0.9101726412773132,15.398303985595703,0.9101726412773132,0.9101726412773132,15.48192024230957,16.000064849853516,0.0,0,0,0,0,0,nan,nan,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,14
14,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00015.jpg,0.9101726412773132,15.38316822052002,0.9101726412773132,0.9101726412773132,15.332032203674316,15.363807678222656,0.0,0,0,0,0,0,nan,nan,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,15
15,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00016.jpg,0.8455967307090759,15.426464080810547,0.8455967307090759,0.8455967307090759,15.649151802062988,15.659808158874512,0.0,0,0,0,0,0,nan,nan,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,16
16,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00017.jpg,0.3300235867500305,14.54304027557373,0.3300235867500305,0.3300235867500305,14.21884822845459,14.196576118469238,0.0,0,0,0,0,0,nan,nan,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,17
17,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00018.jpg,0.9127153754234314,15.012767791748047,0.9127153754234314,0.9127153754234314,14.373311996459961,14.604640007019043,0.0,0,0,0,0,0,nan,nan,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,18
18,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00019.jpg,0.9692302346229553,14.841952323913574,0.9692302346229553,0.9692302346229553,14.541312217712402,15.099295616149902,0.0,0,0,0,0,0,nan,nan,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,19
19,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00020.jpg,0.9692302346229553,14.96566390991211,0.9692302346229553,0.9692302346229553,14.939359664916992,14.908479690551758,0.0,0,0,0,0,0,nan,nan,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,20
20,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00021.jpg,0.9487650990486145,15.642239570617676,0.9487650990486145,0.9487650990486145,16.95964813232422,15.594528198242188,0.0,0,0,0,0,1,1.0,0.0,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,21
21,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00022.jpg,0.9539020657539368,15.317728042602539,0.9539020657539368,0.9539020657539368,16.14348793029785,18.91417694091797,0.0,0,0,0,0,1,1.0,0.0,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,22
22,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00023.jpg,0.9501126408576965,15.368767738342285,0.9501126408576965,0.9501126408576965,15.37116813659668,15.538016319274902,0.0,0,0,0,0,1,1.0,0.0,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,23
23,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00024.jpg,0.9586370587348938,15.454048156738281,0.9586370587348938,0.9586370587348938,15.503840446472168,15.202655792236328,0.0,0,0,0,0,1,1.0,0.0,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,24
24,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00025.jpg,0.9607416391372681,15.592639923095703,0.9607416391372681,0.9607416391372681,14.806559562683105,15.637663841247559,0.0,0,0,0,0,1,1.0,0.0,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,25
25,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00026.jpg,0.9728386998176575,14.579392433166504,0.7577381730079651,0.9728386998176575,15.521344184875488,15.50211238861084,0.0,0,0,0,0,1,1.0,0.0,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,26
26,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00027.jpg,0.9672507643699646,17.63747215270996,0.9672507643699646,0.9672507643699646,14.420607566833496,15.260607719421387,0.0,0,0,0,0,1,1.0,0.0,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,27
27,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00028.jpg,0.9772761464118958,17.936063766479492,0.9772761464118958,0.9772761464118958,16.613792419433594,15.030112266540527,0.0,0,0,0,0,1,1.0,0.0,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,28
28,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00029.jpg,0.9475669264793396,15.095392227172852,0.9475669264793396,0.9475669264793396,15.041952133178711,14.95468807220459,0.0,0,0,0,0,1,1.0,0.0,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,29
29,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00030.jpg,0.9600803256034851,15.19484806060791,0.9600803256034851,0.9600803256034851,15.697279930114746,15.003904342651367,0.0,0,0,0,0,1,1.0,0.0,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,30
30,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00031.jpg,0.9622626900672913,19.411039352416992,0.9622626900672913,0.9622626900672913,14.777888298034668,15.023391723632812,0.0,0,0,0,0,1,1.0,0.0,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,31
31,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00032.jpg,0.9386079907417297,14.672575950622559,0.9386079907417297,0.9386079907417297,15.24630355834961,15.3056001663208,0.0,0,0,0,0,1,1.0,0.0,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,32
32,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00033.jpg,0.9593114852905273,14.79190444946289,0.9593114852905273,0.9593114852905273,14.825216293334961,14.604991912841797,0.0,0,0,0,0,1,1.0,0.0,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,33
33,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00034.jpg,0.9593114852905273,14.847904205322266,0.9593114852905273,0.9593114852905273,14.995295524597168,14.846431732177734,0.0,0,0,0,0,1,1.0,0.0,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,34
34,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00035.jpg,0.9606865048408508,14.858304023742676,0.9606865048408508,0.9606865048408508,15.087552070617676,14.722368240356445,0.0,0,0,0,0,1,1.0,0.0,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,35
35,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00036.jpg,0.9544152021408081,14.69155216217041,0.9544152021408081,0.9544152021408081,14.818495750427246,14.649760246276855,0.0,0,0,0,0,1,1.0,0.0,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,36
