frame,event,mean_active_inference_latency_ms,p90_active_inference_latency_ms,estimated_fps,mean_shadow_teacher_latency_ms,mean_shadow_student_latency_ms,mean_shadow_update_latency_ms,peak_cuda_allocated_mb,peak_cuda_reserved_mb,current_cuda_allocated_mb,current_cuda_reserved_mb,checkpoint_size_mb,trainable_params
500,promotion_eval,15.484141128540038,15.252591133117676,64.582206510429,14.291021175384522,14.582846794128418,619.7720078704749,443.3271484375,592.0,72.67236328125,592.0,5.913121223449707,750739
1000,promotion_eval,15.089751140594483,15.45412826538086,66.27014525837988,14.489381510734558,14.646582282066346,627.3602071699205,443.3271484375,592.0,72.67236328125,592.0,5.913121223449707,750739
1500,promotion_eval,14.820380029678345,15.384012222290039,67.47465301142508,14.40782745742798,14.66925029182434,627.2045057873394,443.9521484375,592.0,72.67236328125,584.0,5.913121223449707,750739
2000,promotion_eval,14.298284126281738,15.250755310058594,69.93846192788236,13.976169669151306,14.208823175907135,622.0226897920045,443.9521484375,592.0,72.67236328125,584.0,5.913121223449707,750739
2500,promotion_eval,14.106839395141602,15.19546127319336,70.8876008288859,13.809126762008667,14.12445097732544,604.6210452359354,443.9521484375,592.0,72.67236328125,584.0,5.913121223449707,750739
3000,promotion_eval,13.828493425051372,15.111305236816406,72.31445749458315,13.574749111493428,13.861360114415486,599.1354517820405,443.9521484375,592.0,72.67236328125,584.0,5.913121223449707,750739
3500,promotion_eval,13.767200380597796,15.043692588806152,72.63640917214414,13.524501121520997,13.851426464898246,591.5188772272653,443.9521484375,592.0,72.67236328125,584.0,5.913121223449707,750739
4000,promotion_eval,13.521158510923385,14.973340034484863,73.95815966450851,13.302711463689803,13.612497678518295,589.7099032450587,443.9521484375,592.0,72.67236328125,586.0,5.913121223449707,750739
4500,promotion_eval,13.45553446981642,14.897933006286621,74.31886130151197,13.248125874837239,13.5701985751258,587.1799064432761,443.9521484375,592.0,72.67236328125,586.0,5.913121223449707,750739
5000,promotion_eval,13.357034465217591,14.843059539794922,74.86691769823996,13.157478889083862,13.493260285568237,585.4849514420666,443.9521484375,592.0,72.67236328125,586.0,5.913121223449707,750739
5500,promotion_eval,13.319563346169211,14.809804916381836,75.07753625328913,13.129389813163064,13.454689550919966,584.6558882327149,443.9521484375,592.0,72.67236328125,586.0,5.913121223449707,750739
6000,promotion_eval,13.242267099221548,14.759587287902832,75.5157702610292,13.046952799797058,13.393425529162089,581.4464176340058,443.9521484375,592.0,72.67236328125,586.0,5.913121223449707,750739
6500,promotion_eval,13.185334180245032,14.716547012329102,75.8418396022342,13.000468817490798,13.326496643800002,580.5817486370341,443.9521484375,592.0,72.67236328125,586.0,5.913121223449707,750739
6735,final,13.175181639203338,14.695443153381348,75.90028186210773,12.992970616284705,13.32175623122727,579.3072344962916,443.9521484375,592.0,72.67236328125,584.0,5.913121223449707,750739
