frame,image_path,category,fda_conf,current_odad_conf,adapter_conf,membank_conf,source_anchor_conf,suggested_reason,manual_label_blank
466,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00467.jpg,adapter_bad_membank_good,0.8699,0.3066,0.0896,0.1767,0.1665,threshold=0.15; membank conf=0.177 weird=0 border=0 tiny=0 large=0; compare conf=0.090 weird=0,
2172,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_02173.jpg,adapter_bad_membank_good,0.8046,0.0651,0.0954,0.1551,0.1156,threshold=0.15; membank conf=0.155 weird=0 border=0 tiny=0 large=0; compare conf=0.095 weird=0,
3820,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_03821.jpg,adapter_bad_membank_good,0.5595,0.5528,0.8706,0.8558,0.8633,threshold=0.15; membank conf=0.856 weird=0 border=0 tiny=0 large=0; compare conf=0.871 weird=0,
5958,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_05959.jpg,adapter_bad_membank_good,0.8574,0.7153,0.7458,0.7652,0.7830,threshold=0.15; membank conf=0.765 weird=0 border=0 tiny=0 large=0; compare conf=0.746 weird=0,
936,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00937.jpg,adapter_bad_membank_good,0.7641,0.0160,0.0804,0.2272,0.1950,threshold=0.20; membank conf=0.227 weird=0 border=0 tiny=0 large=0; compare conf=0.080 weird=0,
2941,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_02942.jpg,adapter_bad_membank_good,0.5961,0.8216,0.0842,0.2326,0.1821,threshold=0.20; membank conf=0.233 weird=0 border=0 tiny=0 large=0; compare conf=0.084 weird=0,
4258,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_04259.jpg,adapter_bad_membank_good,0.7457,0.1534,0.1651,0.3294,0.2581,threshold=0.20; membank conf=0.329 weird=0 border=0 tiny=0 large=0; compare conf=0.165 weird=0,
6217,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_06218.jpg,adapter_bad_membank_good,0.6950,0.8510,0.1786,0.3435,0.3189,threshold=0.20; membank conf=0.343 weird=0 border=0 tiny=0 large=0; compare conf=0.179 weird=0,
1076,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_01077.jpg,adapter_bad_membank_good,0.8406,0.0828,0.1804,0.4240,0.3461,threshold=0.25; membank conf=0.424 weird=0 border=0 tiny=0 large=0; compare conf=0.180 weird=0,
3206,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_03207.jpg,adapter_bad_membank_good,0.7691,0.0614,0.2322,0.3557,0.2657,threshold=0.25; membank conf=0.356 weird=0 border=0 tiny=0 large=0; compare conf=0.232 weird=0,
4361,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_04362.jpg,adapter_bad_membank_good,0.6749,0.1184,0.1708,0.2872,0.2178,threshold=0.25; membank conf=0.287 weird=0 border=0 tiny=0 large=0; compare conf=0.171 weird=0,
689,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00690.jpg,current_odad_good_membank_bad,0.7003,0.1920,0.1354,0.0719,0.0646,threshold=0.15; membank conf=0.072 weird=0 border=0 tiny=0 large=0; compare conf=0.192 weird=0,
3153,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_03154.jpg,current_odad_good_membank_bad,0.6073,0.2480,0.2479,0.1294,0.1116,threshold=0.15; membank conf=0.129 weird=0 border=0 tiny=0 large=0; compare conf=0.248 weird=0,
3255,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_03256.jpg,current_odad_good_membank_bad,0.6983,0.5561,0.8439,0.8406,0.8446,threshold=0.15; membank conf=0.841 weird=1 border=1 tiny=0 large=0; compare conf=0.556 weird=0,
6498,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_06499.jpg,current_odad_good_membank_bad,0.4561,0.6800,0.6399,0.6747,0.6552,threshold=0.15; membank conf=0.675 weird=1 border=1 tiny=0 large=0; compare conf=0.680 weird=0,
1787,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_01788.jpg,current_odad_good_membank_bad,0.5108,0.2640,0.2942,0.1856,0.1929,threshold=0.20; membank conf=0.186 weird=0 border=0 tiny=0 large=0; compare conf=0.264 weird=0,
3237,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_03238.jpg,current_odad_good_membank_bad,0.3289,0.9239,0.7949,0.7803,0.7686,threshold=0.20; membank conf=0.780 weird=1 border=1 tiny=0 large=0; compare conf=0.924 weird=0,
4284,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_04285.jpg,current_odad_good_membank_bad,0.8875,0.2200,0.1749,0.0915,0.0873,threshold=0.20; membank conf=0.091 weird=0 border=0 tiny=0 large=0; compare conf=0.220 weird=0,
6517,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_06518.jpg,current_odad_good_membank_bad,0.8929,0.8202,0.7247,0.7537,0.7467,threshold=0.20; membank conf=0.754 weird=1 border=1 tiny=0 large=0; compare conf=0.820 weird=0,
1834,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_01835.jpg,current_odad_good_membank_bad,0.8469,0.3431,0.1733,0.1773,0.2256,threshold=0.25; membank conf=0.177 weird=0 border=0 tiny=0 large=0; compare conf=0.343 weird=0,
3240,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_03241.jpg,current_odad_good_membank_bad,0.3310,0.7006,0.6939,0.7855,0.7464,threshold=0.25; membank conf=0.786 weird=1 border=1 tiny=0 large=0; compare conf=0.701 weird=0,
5323,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_05324.jpg,current_odad_good_membank_bad,0.8710,0.3315,0.3470,0.1750,0.1606,threshold=0.25; membank conf=0.175 weird=0 border=0 tiny=0 large=0; compare conf=0.332 weird=0,
