threshold,category,frame,image_path,compare_model,membank_conf,membank_weird,membank_border,membank_tiny,membank_large,compare_conf,compare_weird,reason
0.25,membank_good_fda_mix_bad,0,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00001.jpg,fda_mix,0.8233,0,0,0,0,0.5255,1,threshold=0.25; membank conf=0.823 weird=0 border=0 tiny=0 large=0; compare conf=0.526 weird=1
0.25,membank_good_fda_mix_bad,1,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00002.jpg,fda_mix,0.8233,0,0,0,0,0.5255,1,threshold=0.25; membank conf=0.823 weird=0 border=0 tiny=0 large=0; compare conf=0.526 weird=1
0.25,membank_good_fda_mix_bad,2,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00003.jpg,fda_mix,0.8152,0,0,0,0,0.5793,1,threshold=0.25; membank conf=0.815 weird=0 border=0 tiny=0 large=0; compare conf=0.579 weird=1
0.25,membank_good_fda_mix_bad,3,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00004.jpg,fda_mix,0.7715,0,0,0,0,0.2932,1,threshold=0.25; membank conf=0.772 weird=0 border=0 tiny=0 large=0; compare conf=0.293 weird=1
0.25,membank_good_fda_mix_bad,6,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00007.jpg,fda_mix,0.6827,0,0,0,0,0.4301,1,threshold=0.25; membank conf=0.683 weird=0 border=0 tiny=0 large=0; compare conf=0.430 weird=1
0.25,membank_weird_or_border,7,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00008.jpg,,0.1167,1,1,0,0,,,threshold=0.25; membank conf=0.117 weird=1 border=1 tiny=0 large=0
0.25,membank_good_fda_mix_bad,9,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00010.jpg,fda_mix,0.6176,0,0,0,0,0.2545,1,threshold=0.25; membank conf=0.618 weird=0 border=0 tiny=0 large=0; compare conf=0.255 weird=1
0.25,membank_good_fda_mix_bad,11,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00012.jpg,fda_mix,0.5303,0,0,0,0,0.8404,1,threshold=0.25; membank conf=0.530 weird=0 border=0 tiny=0 large=0; compare conf=0.840 weird=1
0.25,membank_good_fda_mix_bad,12,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00013.jpg,fda_mix,0.3598,0,0,0,0,0.7557,1,threshold=0.25; membank conf=0.360 weird=0 border=0 tiny=0 large=0; compare conf=0.756 weird=1
0.25,membank_good_fda_mix_bad,13,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00014.jpg,fda_mix,0.3754,0,0,0,0,0.6667,1,threshold=0.25; membank conf=0.375 weird=0 border=0 tiny=0 large=0; compare conf=0.667 weird=1
0.25,membank_good_fda_mix_bad,14,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00015.jpg,fda_mix,0.3754,0,0,0,0,0.6667,1,threshold=0.25; membank conf=0.375 weird=0 border=0 tiny=0 large=0; compare conf=0.667 weird=1
0.25,membank_good_fda_mix_bad,15,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00016.jpg,fda_mix,0.2511,0,0,0,0,0.6631,1,threshold=0.25; membank conf=0.251 weird=0 border=0 tiny=0 large=0; compare conf=0.663 weird=1
0.25,adapter_bad_membank_good,15,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00016.jpg,adapter_base,0.2511,0,0,0,0,0.2417,0,threshold=0.25; membank conf=0.251 weird=0 border=0 tiny=0 large=0; compare conf=0.242 weird=0
0.25,membank_no_detection_or_tiny_conf,16,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00017.jpg,,0.0253,1,1,0,0,,,threshold=0.25; membank conf=0.025 weird=1 border=1 tiny=0 large=0
0.25,membank_weird_or_border,16,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00017.jpg,,0.0253,1,1,0,0,,,threshold=0.25; membank conf=0.025 weird=1 border=1 tiny=0 large=0
0.25,membank_good_fda_mix_bad,18,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00019.jpg,fda_mix,0.9069,0,0,0,0,0.6621,1,threshold=0.25; membank conf=0.907 weird=0 border=0 tiny=0 large=0; compare conf=0.662 weird=1
0.25,membank_good_fda_mix_bad,19,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00020.jpg,fda_mix,0.9069,0,0,0,0,0.6621,1,threshold=0.25; membank conf=0.907 weird=0 border=0 tiny=0 large=0; compare conf=0.662 weird=1
0.25,membank_good_fda_mix_bad,20,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00021.jpg,fda_mix,0.8656,0,0,0,0,0.8188,1,threshold=0.25; membank conf=0.866 weird=0 border=0 tiny=0 large=0; compare conf=0.819 weird=1
0.25,membank_good_fda_mix_bad,21,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00022.jpg,fda_mix,0.8495,0,0,0,0,0.8588,1,threshold=0.25; membank conf=0.850 weird=0 border=0 tiny=0 large=0; compare conf=0.859 weird=1
0.25,membank_good_fda_mix_bad,22,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00023.jpg,fda_mix,0.8530,0,0,0,0,0.8508,1,threshold=0.25; membank conf=0.853 weird=0 border=0 tiny=0 large=0; compare conf=0.851 weird=1
0.25,membank_good_fda_mix_bad,23,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00024.jpg,fda_mix,0.8199,0,0,0,0,0.8365,1,threshold=0.25; membank conf=0.820 weird=0 border=0 tiny=0 large=0; compare conf=0.837 weird=1
0.25,membank_good_fda_mix_bad,24,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00025.jpg,fda_mix,0.8288,0,0,0,0,0.8373,1,threshold=0.25; membank conf=0.829 weird=0 border=0 tiny=0 large=0; compare conf=0.837 weird=1
