frame,image_path,category,fda_conf,current_odad_conf,adapter_conf,membank_conf,source_anchor_conf,suggested_reason,manual_label_blank
15,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00016.jpg,adapter_bad_membank_good,0.6631,0.8456,0.2417,0.2511,0.3162,threshold=0.25; membank conf=0.251 weird=0 border=0 tiny=0 large=0; compare conf=0.242 weird=0,
0,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00001.jpg,membank_good_fda_mix_bad,0.5255,0.9598,0.8646,0.8233,0.8218,threshold=0.15; membank conf=0.823 weird=0 border=0 tiny=0 large=0; compare conf=0.526 weird=1,
11,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00012.jpg,membank_good_fda_mix_bad,0.8404,0.9138,0.5193,0.5303,0.6344,threshold=0.20; membank conf=0.530 weird=0 border=0 tiny=0 large=0; compare conf=0.840 weird=1,
8,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00009.jpg,membank_low_conf_candidate,0.3988,0.8343,0.3356,0.2213,0.2509,threshold=0.15; membank conf=0.221 weird=0 border=0 tiny=0 large=0,
8,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00009.jpg,membank_low_conf_candidate,0.3988,0.8343,0.3356,0.2213,0.2509,threshold=0.20; membank conf=0.221 weird=0 border=0 tiny=0 large=0,
16,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00017.jpg,membank_no_detection_or_tiny_conf,0.6136,0.3300,0.0185,0.0253,0.0139,threshold=0.15; membank conf=0.025 weird=1 border=1 tiny=0 large=0,
16,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00017.jpg,membank_no_detection_or_tiny_conf,0.6136,0.3300,0.0185,0.0253,0.0139,threshold=0.20; membank conf=0.025 weird=1 border=1 tiny=0 large=0,
7,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00008.jpg,membank_weird_or_border,0.6824,0.5567,0.1049,0.1167,0.1110,threshold=0.15; membank conf=0.117 weird=1 border=1 tiny=0 large=0,
16,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00017.jpg,membank_weird_or_border,0.6136,0.3300,0.0185,0.0253,0.0139,threshold=0.20; membank conf=0.025 weird=1 border=1 tiny=0 large=0,
1,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00002.jpg,membank_good_fda_mix_bad,0.5255,0.9598,0.8646,0.8233,0.8218,threshold=0.15; membank conf=0.823 weird=0 border=0 tiny=0 large=0; compare conf=0.526 weird=1,
2,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00003.jpg,membank_good_fda_mix_bad,0.5793,0.9575,0.8598,0.8152,0.8150,threshold=0.15; membank conf=0.815 weird=0 border=0 tiny=0 large=0; compare conf=0.579 weird=1,
3,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00004.jpg,membank_good_fda_mix_bad,0.2932,0.8129,0.7902,0.7715,0.7729,threshold=0.15; membank conf=0.772 weird=0 border=0 tiny=0 large=0; compare conf=0.293 weird=1,
