dataset,model,confidence_threshold,n_images,det_rate,weird_rate,high_conf_weird_rate,box_jump_rate,bad_rate,max_bad_streak,p95_bad_streak,bad_streaks_over_50,max_good_streak,mean_top1_conf,median_top1_conf,low_conf_rate,no_detection_rate
lab,fda_mix,0.05,20,1.0,0.8500000238418579,0.10000000149011612,0.0,0.8500000238418579,9,8.5,0,2,0.554697573184967,0.596440851688385,0.0,0.0
lab,current_odad,0.05,20,1.0,1.0,0.8500000238418579,0.0,1.0,20,20.0,0,0,0.8321433067321777,0.9132484197616577,0.0,0.0
lab,adapter_base,0.05,20,0.949999988079071,0.10000000149011612,0.0,0.05263157933950424,0.15000000596046448,2,1.9500000476837158,0,7,0.5406178832054138,0.5877190232276917,0.05000000074505806,0.0
lab,membank_prev,0.05,20,0.949999988079071,0.10000000149011612,0.0,0.05263157933950424,0.15000000596046448,2,1.9500000476837158,0,7,0.5245162844657898,0.5739260911941528,0.05000000074505806,0.0
lab,source_anchor,0.05,20,0.949999988079071,0.10000000149011612,0.0,0.05263157933950424,0.15000000596046448,2,1.9500000476837158,0,7,0.5431524515151978,0.6271286010742188,0.05000000074505806,0.0
lab,fda_mix,0.1,20,1.0,0.8500000238418579,0.10000000149011612,0.0,0.8500000238418579,9,8.5,0,2,0.554697573184967,0.596440851688385,0.0,0.0
lab,current_odad,0.1,20,1.0,1.0,0.8500000238418579,0.0,1.0,20,20.0,0,0,0.8321433067321777,0.9132484197616577,0.0,0.0
lab,adapter_base,0.1,20,0.949999988079071,0.10000000149011612,0.0,0.05263157933950424,0.15000000596046448,2,1.9500000476837158,0,7,0.5406178832054138,0.5877190232276917,0.05000000074505806,0.0
lab,membank_prev,0.1,20,0.949999988079071,0.10000000149011612,0.0,0.05263157933950424,0.15000000596046448,2,1.9500000476837158,0,7,0.5245162844657898,0.5739260911941528,0.05000000074505806,0.0
lab,source_anchor,0.1,20,0.949999988079071,0.10000000149011612,0.0,0.05263157933950424,0.15000000596046448,2,1.9500000476837158,0,7,0.5431524515151978,0.6271286010742188,0.05000000074505806,0.0
lab,fda_mix,0.15,20,1.0,0.8500000238418579,0.10000000149011612,0.0,0.8500000238418579,9,8.5,0,2,0.554697573184967,0.596440851688385,0.0,0.0
lab,current_odad,0.15,20,1.0,1.0,0.8500000238418579,0.0,1.0,20,20.0,0,0,0.8321433067321777,0.9132484197616577,0.0,0.0
lab,adapter_base,0.15,20,0.8999999761581421,0.10000000149011612,0.0,0.05263157933950424,0.15000000596046448,2,1.9500000476837158,0,7,0.5406178832054138,0.5877190232276917,0.10000000149011612,0.0
lab,membank_prev,0.15,20,0.8500000238418579,0.10000000149011612,0.0,0.05263157933950424,0.20000000298023224,2,2.0,0,7,0.5245162844657898,0.5739260911941528,0.15000000596046448,0.0
lab,source_anchor,0.15,20,0.8500000238418579,0.10000000149011612,0.0,0.05263157933950424,0.20000000298023224,2,2.0,0,7,0.5431524515151978,0.6271286010742188,0.15000000596046448,0.0
lab,fda_mix,0.2,20,1.0,0.8500000238418579,0.10000000149011612,0.0,0.8500000238418579,9,8.5,0,2,0.554697573184967,0.596440851688385,0.0,0.0
lab,current_odad,0.2,20,0.949999988079071,1.0,0.8500000238418579,0.0,1.0,20,20.0,0,0,0.8321433067321777,0.9132484197616577,0.05000000074505806,0.0
lab,adapter_base,0.2,20,0.8500000238418579,0.10000000149011612,0.0,0.05263157933950424,0.20000000298023224,2,2.0,0,7,0.5406178832054138,0.5877190232276917,0.15000000596046448,0.0
