dataset,dataset_label,model,model_label,segment_index,start_index,end_index,start_frame,end_frame,length,start_image,end_image,low_conf_count,no_detection_count,weird_count,box_jump_count,high_conf_weird_count,bad_rate,good_rate,mean_top1_conf,fda_mix_bad_count,fda_mix_bad_rate,fda_mix_low_conf_count,fda_mix_weird_count,fda_mix_box_jump_count,fda_mix_high_conf_weird_count,fda_mix_max_bad_streak,current_odad_bad_count,current_odad_bad_rate,current_odad_low_conf_count,current_odad_weird_count,current_odad_box_jump_count,current_odad_high_conf_weird_count,current_odad_max_bad_streak,shadow_5500_bad_count,shadow_5500_bad_rate,shadow_5500_low_conf_count,shadow_5500_weird_count,shadow_5500_box_jump_count,shadow_5500_high_conf_weird_count,shadow_5500_max_bad_streak,shadow_6500_bad_count,shadow_6500_bad_rate,shadow_6500_low_conf_count,shadow_6500_weird_count,shadow_6500_box_jump_count,shadow_6500_high_conf_weird_count,shadow_6500_max_bad_streak,rank_by_model_length
lab,Lab,current_odad,Current Odad,20,449,646,450,647,198,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00450.jpg,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00647.jpg,12,0,192,26,82,1.0,0.0,0.6228874921798706,58,0.2929292917251587,0,53,11,32,14,198,1.0,12,192,26,82,198,116,0.5858585834503174,3,110,11,39,101,151,0.7626262903213501,1,147,9,32,145,1
lab,Lab,current_odad,Current Odad,125,3749,3927,3750,3928,179,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_03750.jpg,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_03928.jpg,1,0,177,8,91,1.0,0.0,0.7313947677612305,28,0.15642458200454712,0,28,0,15,5,179,1.0,1,177,8,91,179,117,0.6536312699317932,38,108,24,15,72,164,0.916201114654541,33,155,27,29,72,2
lab,Lab,current_odad,Current Odad,169,4815,4966,4816,4967,152,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_04816.jpg,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_04967.jpg,18,0,144,16,55,1.0,0.0,0.601172924041748,68,0.44736841320991516,1,64,4,38,14,152,1.0,18,144,16,55,152,142,0.9342105388641357,76,127,36,5,55,147,0.9671052694320679,82,128,27,9,80,3
lab,Lab,current_odad,Current Odad,218,6112,6256,6113,6257,145,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_06113.jpg,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_06257.jpg,8,0,144,12,93,1.0,0.0,0.7381234169006348,24,0.16551724076271057,7,14,8,0,7,145,1.0,8,144,12,93,145,121,0.834482729434967,97,106,19,0,104,136,0.9379310607910156,45,131,9,0,130,4
lab,Lab,current_odad,Current Odad,92,2846,2976,2847,2977,131,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_02847.jpg,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_02977.jpg,13,0,126,16,69,1.0,0.0,0.6790977716445923,19,0.1450381726026535,2,16,4,0,4,131,1.0,13,126,16,69,131,113,0.8625954389572144,93,101,19,0,113,127,0.9694656729698181,51,120,12,8,127,5
lab,Lab,current_odad,Current Odad,215,5962,6091,5963,6092,130,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_05963.jpg,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_06092.jpg,0,0,126,8,93,1.0,0.0,0.8229929804801941,20,0.1538461595773697,0,17,3,12,3,130,1.0,0,126,8,93,130,72,0.5538461804389954,4,62,21,5,37,121,0.9307692050933838,4,109,26,18,63,6
lab,Lab,current_odad,Current Odad,173,5033,5154,5034,5155,122,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_05034.jpg,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_05155.jpg,16,0,117,12,69,1.0,0.0,0.6806399822235107,21,0.17213115096092224,2,17,5,2,7,122,1.0,16,117,12,69,122,99,0.811475396156311,78,84,23,0,42,119,0.9754098653793335,44,113,14,8,108,7
lab,Lab,current_odad,Current Odad,89,2715,2829,2716,2830,115,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_02716.jpg,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_02830.jpg,3,0,112,3,97,1.0,0.0,0.8495265245437622,68,0.591304361820221,0,58,23,26,14,115,1.0,3,112,3,97,115,66,0.573913037776947,6,55,24,4,23,109,0.947826087474823,8,103,12,21,75,8
lab,Lab,current_odad,Current Odad,130,3983,4092,3984,4093,110,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_03984.jpg,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_04093.jpg,8,0,108,8,33,1.0,0.0,0.6499717831611633,18,0.16363635659217834,0,17,2,1,6,110,1.0,8,108,8,33,110,104,0.9454545378684998,96,96,14,0,92,108,0.9818181991577148,78,103,8,0,108,9
lab,Lab,current_odad,Current Odad,23,689,795,690,796,107,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00690.jpg,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00796.jpg,9,0,103,4,53,1.0,0.0,0.6985735893249512,13,0.1214953288435936,1,12,0,4,6,107,1.0,9,103,4,53,107,96,0.8971962332725525,88,83,15,0,45,104,0.9719626307487488,68,98,9,0,100,10
lab,Lab,current_odad,Current Odad,56,1699,1786,1700,1787,88,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_01700.jpg,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_01787.jpg,15,0,86,6,43,1.0,0.0,0.6327728629112244,48,0.5454545617103577,8,38,19,2,9,88,1.0,15,86,6,43,88,29,0.3295454680919647,26,25,0,0,19,71,0.8068181872367859,10,65,13,13,35,11
lab,Lab,current_odad,Current Odad,53,1542,1619,1543,1620,78,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_01543.jpg,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_01620.jpg,19,0,75,7,22,1.0,0.0,0.5139987468719482,3,0.03846153989434242,0,3,0,1,3,78,1.0,19,75,7,22,78,75,0.9615384340286255,50,68,22,0,75,76,0.9743589758872986,47,66,21,0,60,12
lab,Lab,current_odad,Current Odad,55,1628,1697,1629,1698,70,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_01629.jpg,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_01698.jpg,1,0,66,6,55,1.0,0.0,0.8338801860809326,9,0.12857143580913544,0,6,4,4,3,70,1.0,1,66,6,55,70,24,0.34285715222358704,2,16,14,1,11,60,0.8571428656578064,3,52,18,11,49,13
lab,Lab,current_odad,Current Odad,88,2646,2713,2647,2714,68,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_02647.jpg,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_02714.jpg,6,0,66,4,4,1.0,0.0,0.49964746832847595,12,0.1764705926179886,0,12,0,3,3,68,1.0,6,66,4,4,68,68,1.0,45,64,11,0,68,68,1.0,37,62,18,2,68,14
lab,Lab,current_odad,Current Odad,59,1840,1888,1841,1889,49,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_01841.jpg,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_01889.jpg,10,0,42,8,10,1.0,0.0,0.50057452917099,2,0.040816325694322586,1,1,2,0,2,49,1.0,10,42,8,10,49,20,0.40816327929496765,20,7,6,0,14,35,0.7142857313156128,21,26,13,0,31,15
lab,Lab,current_odad,Current Odad,1,0,42,1,43,43,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00001.jpg,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00043.jpg,1,0,42,1,39,1.0,0.0,0.8923075199127197,26,0.604651153087616,0,26,0,10,15,43,1.0,1,42,1,39,43,14,0.3255814015865326,11,3,4,0,7,25,0.5813953280448914,9,20,9,0,19,16
lab,Lab,current_odad,Current Odad,214,5919,5960,5920,5961,42,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_05920.jpg,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_05961.jpg,10,0,41,4,1,1.0,0.0,0.4516063928604126,5,0.1190476194024086,0,5,0,0,3,42,1.0,10,41,4,1,42,41,0.976190447807312,24,40,11,0,24,41,0.976190447807312,17,40,7,1,24,17
lab,Lab,current_odad,Current Odad,87,2604,2644,2605,2645,41,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_02605.jpg,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_02645.jpg,15,0,35,9,0,1.0,0.0,0.3012881875038147,27,0.6585366129875183,0,27,0,13,11,41,1.0,15,35,9,0,41,33,0.8048780560493469,33,22,3,0,33,35,0.8536585569381714,35,31,4,0,35,18
lab,Lab,current_odad,Current Odad,58,1795,1833,1796,1834,39,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_01796.jpg,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_01834.jpg,10,0,33,5,7,1.0,0.0,0.4772472381591797,12,0.3076923191547394,0,12,0,7,8,39,1.0,10,33,5,7,39,34,0.8717948794364929,34,26,7,0,18,39,1.0,36,33,5,0,39,19
lab,Lab,current_odad,Current Odad,64,2009,2044,2010,2045,36,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_02010.jpg,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_02045.jpg,35,0,8,12,0,1.0,0.0,0.07130666822195053,13,0.3611111044883728,2,13,0,4,4,36,1.0,35,8,12,0,36,13,0.3611111044883728,13,0,0,0,10,32,0.8888888955116272,32,2,4,0,18,20
lab,Lab,current_odad,Current Odad,139,4216,4251,4217,4252,36,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_04217.jpg,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_04252.jpg,12,0,31,8,1,1.0,0.0,0.41809913516044617,15,0.4166666567325592,1,15,0,13,5,36,1.0,12,31,8,1,36,16,0.4444444477558136,16,0,0,0,13,20,0.5555555820465088,18,12,13,0,18,21
lab,Lab,current_odad,Current Odad,170,4968,5002,4969,5003,35,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_04969.jpg,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_05003.jpg,0,0,34,2,32,1.0,0.0,0.9314801692962646,5,0.1428571492433548,0,4,2,0,5,35,1.0,0,34,2,32,35,0,0.0,0,0,0,0,0,24,0.6857143044471741,0,21,6,17,22,22
